Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Winnie Johnson-Marquart,3.8,58,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Manufacturing,female,cleaning products,"Bachelor of Arts / Science, Cornell University",1,1,North America,2017,,1886,Relation,The Consistent,
Stephen Bisciotti,3.8,57,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Sports,male,"staffing, Baltimore Ravens, Self Made","Bachelor of Arts / Science, Salisbury State University",1,1,North America,2017,,,Founder,The Consistent,
Ralph Dommermuth,3.8,53,Germany,Y,N,N,N,N,N,N,N,2008,9,1,1,1,Technology,male,"internet service provider, Self Made",NA,0,0.9,Europe,2017,2009,1988,,The Consistent,25
Kalanithi Maran,3.8,51,India,Y,N,N,N,Y,N,N,N,2007,11,0,0,0,Media,male,"media, Self Made","Master of Business Administration, University of Scranton",1,1,Asia,2017,,,,The Consistent,
Jia Yueting,3.8,44,China,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Technology,male,"online video, Self Made",NA,0,1,Asia,2017,,2000,,The Consistent,28
Brian Chesky,3.8,35,United States,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Software,male,"Airbnb, Self Made","Bachelor of Arts / Science, Rhode Island School of Design",1,1,North America,2017,,2008,,The Newbie,27
Joe Gebbia,3.8,35,United States,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Software,male,"Airbnb, Self Made","Bachelor of Arts / Science, Rhode Island School of Design",1,1,North America,2017,,2008,,The Newbie,27
Nathan Blecharczyk,3.8,33,United States,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Software,male,"Airbnb, Self Made","Bachelor of Arts / Science, Harvard University",1,1,North America,2017,,2008,,The Newbie,25
Ursula Engelhorn,3.7,NA,Germany,N,N,N,N,N,N,N,N,2015,2,1,0,0,Health care,female,pharmaceuticals/medical equipment,NA,0,0.67,Europe,2016,2017,,,The Newbie,
Martin & Olivier Bouygues,3.7,-,France,N,N,N,N,N,N,N,N,2007,11,0,0,0,Construction and Engineering,male,"construction, media",NA,0,1,Europe,2017,,,,The Consistent,
Archie Aldis Emmerson,3.7,88,United States,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Manufacturing,male,"timberland, lumber mills, Self Made","Diploma, High School",1,1,North America,2017,,,Founder,The Consistent,
Clemmie Spangler,3.7,85,United States,N,N,Y,N,Y,N,N,N,2007,10,1,1,1,Investments,male,investments,"Bachelor of Arts / Science, University of North Carolina; Master of Business Administration, Harvard University",2,0.91,North America,2017,2009,,,The Consistent,
Lucio Tan,3.7,82,Philippines,Y,N,Y,N,N,N,N,N,2008,10,0,0,0,Diversified,male,"diversified, Self Made","Bachelor of Arts / Science, Far Eastern University",1,1,Asia,2017,,1982,,The Consistent,48
Jerry Speyer,3.7,76,United States,Y,N,Y,N,Y,N,N,N,2008,10,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, Columbia University; Master of Business Administration, Columbia Business School",2,1,North America,2017,,1978,,The Consistent,38
Igor Olenicoff,3.7,74,United States,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, University of Southern California; Master of Science, University of Southern California",2,1,North America,2017,,1973,,The Consistent,31
Steven Udvar-Hazy,3.7,71,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Service,male,"aircraft leasing, Self Made","Bachelor of Arts / Science, University of California, Los Angeles",1,1,North America,2017,,1973,Founder,The Consistent,28
Steven Spielberg,3.7,70,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Media,male,"Movies, Self Made","Bachelor of Arts / Science, California State Long Beach",1,1,North America,2017,,1994,Founder,The Consistent,48
Roger Wang,3.7,68,United States,Y,N,Y,N,Y,N,N,N,2007,10,1,1,1,Fashion and Retail,male,"retail, Self Made","Bachelor of Arts / Science, Chinese Cultural University; Master of Business Administration, Southeastern Louisiana University",2,0.91,North America,2017,2009,,,The Consistent,
Yitzhak Tshuva,3.7,68,Israel,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Middle East,2017,,1992,,The Consistent,44
Michael Stoschek,3.7,68,Germany,N,N,N,N,N,N,N,N,2014,3,1,0,0,Automotive,male,autoparts,NA,0,0.75,Europe,2016,2017,1919,,The Consistent,
Ken Fisher,3.7,66,United States,Y,N,Y,N,N,N,N,N,2011,7,0,0,0,Finance,male,"money management, Self Made","Bachelor of Arts / Science, Humboldt State University",1,1,North America,2017,,1979,Founder,The Consistent,29
Renate Reimann-Haas,3.7,65,Germany,N,N,N,N,N,N,N,N,2014,4,0,0,0,Retail,female,consumer goods,NA,0,1,Europe,2017,,1923,Relation,The Consistent,
Hussain Sajwani,3.7,64,United Arab Emirates,Y,N,Y,N,N,N,N,N,2016,2,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, University of Washington",1,1,Middle East,2017,,2002,,The Newbie,50
Wolfgang Reimann,3.7,64,Germany,N,N,N,N,N,N,N,N,2014,4,0,0,0,Retail,male,consumer goods,NA,0,1,Europe,2017,,1923,Relation,The Consistent,
Joao Roberto Marinho,3.7,63,Brazil,N,N,N,N,N,N,N,N,2013,5,0,0,0,Media,male,media,NA,0,1,South America,2017,,1925,Relation,The Consistent,
Ajay Piramal,3.7,61,India,N,N,Y,N,Y,N,N,N,2010,8,0,0,0,Health care,male,pharmaceuticals,"Bachelor of Arts / Science, Bombay University; Master of Business Administration, Bombay University",2,1,Asia,2017,,1984,Founder,The Consistent,29
Vivek Chaand Sehgal,3.7,60,Australia,Y,N,Y,N,N,N,N,N,2014,4,0,0,0,Automotive,male,"auto parts, Self Made","Bachelor of Arts / Science, Delhi University",1,1,Oceania,2017,,1986,,The Consistent,30
Murat Ulker,3.7,58,Turkey,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,male,food manufacturing,"Bachelor of Arts / Science, Bogazici University",1,1,Middle East,2017,,1944,,The Consistent,
Juan Carlos Escotet,3.7,57,Venezuela,Y,N,N,Y,N,N,N,N,2013,5,0,0,0,Finance,male,"banking, Self Made","Master, University of Miami",1,1,South America,2017,,1986,,The Consistent,27
Stefan Reimann-Andersen,3.7,53,Germany,N,N,N,N,N,N,N,N,2014,4,0,0,0,Retail,male,consumer goods,NA,0,1,Europe,2017,,1923,Relation,The Consistent,
Matthias Reimann-Andersen,3.7,52,Germany,N,N,N,N,N,N,N,N,2014,4,0,0,0,Retail,male,consumer goods,NA,0,1,Europe,2017,,1923,Relation,The Consistent,
Alexander Lebedev,3.7,52,Russia,Y,N,Y,N,N,N,N,N,2007,5,2,1,1,Investments,male,"investments, banking, Self Made","Bachelor of Arts / Science, Moscow Institute of International Relations",1,0.45,Europe,2012,2013,,,The Ghost,
Luis Portillo,3.7,46,Spain,N,N,N,N,N,N,N,N,2007,2,1,0,0,Real Estate,male,Real estate,NA,0,0.18,Europe,2008,2009,,,The Ghost,
Dominika & Sebastian Kulczyk,3.6,-,Poland,N,N,N,N,N,N,N,N,2016,2,0,0,0,Diversified,family,"Warsaw, Poland",NA,0,1,Europe,2017,,,,The Newbie,
Masatoshi Ito,3.6,92,Japan,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Retail,male,"retail, Self Made",NA,0,1,Asia,2017,,,,The Consistent,
Randall Rollins,3.6,85,United States,N,N,N,N,N,N,N,N,2015,3,0,0,0,Manufacturing,male,pest control,NA,0,1,North America,2017,,,,The Newbie,
Bernard Saul,3.6,84,United States,N,N,Y,N,N,Y,N,N,2007,10,1,1,1,Finance,male,"banking, real estate","Bachelor of Arts / Science, Villanova University; LLB, University of Virginia",2,0.91,North America,2017,2009,,,The Consistent,
Phillip Frost,3.6,80,United States,Y,N,Y,N,N,Y,Y,N,2007,11,0,0,0,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, University of Pennsylvania; Medical Doctor, Yeshiva U Albert Einstein College of Medicine",2,1,North America,2017,,1972,,The Consistent,36
Charles Cadogan,3.6,77,United Kingdom,N,N,N,N,N,N,N,N,2007,9,1,0,0,Real Estate,male,real estate,NA,0,0.82,Europe,2015,2016,1712,Relation,The Hustler,
Gary Rollins,3.6,72,United States,N,N,N,N,N,N,N,N,2015,3,0,0,0,Manufacturing,male,pest control,NA,0,1,North America,2017,,,,The Newbie,
Shigenobu Nagamori,3.6,72,Japan,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Manufacturing,male,"motors, Self Made",NA,0,1,Asia,2017,,1973,Founder,The Consistent,29
Michael Milken,3.6,70,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, University of California Berkeley; Master of Business Administration, Wharton School",2,1,North America,2017,,1935,Leadership,The Consistent,
Juergen Blickle,3.6,70,Germany,N,N,N,N,N,N,N,N,2017,1,0,0,0,Automotive,male,auto parts,NA,0,1,Europe,2017,,,,The Newbie,
Huang Rulun,3.6,65,China,Y,N,N,N,N,N,N,N,2008,10,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,1991,,The Consistent,40
Jimmy Haslam,3.6,63,United States,N,N,Y,N,N,N,N,N,2013,5,0,0,0,Retail,male,"gas stations, retail","Bachelor of Arts / Science, University of Tennessee Knoxville",1,1,North America,2017,,,,The Consistent,
Henry Samueli,3.6,62,United States,Y,N,Y,Y,N,Y,N,N,2007,11,0,0,0,Technology,male,"semiconductors, Self Made","Bachelor of Arts / Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",3,1,North America,2017,,1991,Founder,The Consistent,37
Masahiro Miki,3.6,61,Japan,Y,N,Y,N,N,N,N,N,2008,10,0,0,0,Fashion and Retail,male,"shoes, Self Made","Bachelor of Arts / Science, Toho Gakuen tanki University",1,1,Asia,2017,,,,The Consistent,
Ricardo Salinas Pliego,3.6,61,Mexico,N,N,Y,N,Y,N,N,N,2007,11,0,0,0,Retail,male,"retail, media","Bachelor of Arts / Science, Tecnol<f3>gico de Monterrey; Master of Business Administration, A. B. Freeman School of Business",2,1,South America,2017,,,,The Consistent,
Vivien Chen,3.6,58,Hong Kong,N,N,N,N,N,N,N,N,2015,3,0,0,0,Real Estate,female,real estate,NA,0,1,Asia,2017,,,,The Newbie,
Jeff Sutton,3.6,57,United States,Y,N,Y,N,N,N,N,N,2014,4,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, University of Pennsylvania Wharton School",1,1,North America,2017,,1994,Founder,The Consistent,35
Zhou Jianping,3.6,56,China,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Fashion and Retail,male,"fashion retail, Self Made",NA,0,1,Asia,2017,,1988,,The Newbie,28
Dan Friedkin,3.6,52,United States,N,N,N,N,N,N,N,N,2014,4,0,0,0,Automotive,male,Toyota dealerships,NA,0,1,North America,2017,,,,The Consistent,
Yu Huijiao,3.6,51,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Logistics,male,"package delivery, Self Made",NA,0,1,Asia,2017,,2000,,The Newbie,35
Denise Coates,3.6,49,United Kingdom,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Gaming,female,"online gambling, Self Made",NA,0,1,Europe,2017,,2000,,The Consistent,33
Dmitry Kamenshchik,3.6,48,Russia,Y,N,Y,N,N,N,N,N,2011,7,0,0,0,Automotive,male,"airport, Self Made","Bachelor of Arts / Science, Moscow State University",1,1,Europe,2017,,1964,,The Consistent,
Frank Wang,3.6,36,China,Y,N,Y,Y,N,N,N,N,2016,2,0,0,0,Technology,male,"drones, Self Made","Bachelor of Arts / Science, Hong Kong University of Science and Technology; Master of Science, Hong Kong University of Science and Technology",2,1,Asia,2017,,2006,,The Newbie,26
Rosa Anna Magno Garavoglia,3.5,NA,Italy,N,N,N,N,N,N,N,N,2014,3,1,0,0,Food and Beverage,female,spirits,NA,0,0.75,Europe,2016,2017,1860,Relation,The Consistent,
Bajaj brothers,3.5,-,India,N,N,N,N,N,N,N,N,2017,1,0,0,0,Manufacturing,family,diversified,NA,0,1,Asia,2017,,,,The Newbie,
George Ty,3.5,84,Philippines,N,N,N,N,N,N,N,N,2013,5,0,0,0,Finance,male,banking,NA,0,1,Asia,2017,,1962,,The Consistent,
Donald Sterling,3.5,82,United States,Y,N,Y,N,N,Y,Y,N,2012,6,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School",2,1,North America,2017,,1961,Founder,The Consistent,
Robert McNair,3.5,80,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Sports,male,"energy, sports, Self Made","Bachelor of Arts / Science, University of South Carolina",1,1,North America,2017,,1983,Founder,The Consistent,47
Rahul Bajaj,3.5,78,India,N,N,N,N,Y,N,N,N,2007,10,1,1,1,Automotive,male,motorcycles,"Master of Business Administration, Harvard University",1,0.91,Asia,2017,2009,1926,Relation,The Consistent,
Guenter Herz,3.5,76,Germany,N,N,N,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,male,coffee,NA,0,1,Europe,2017,,,,The Consistent,
Dagmar Dolby,3.5,75,United States,N,N,Y,N,N,N,N,N,2014,4,0,0,0,Technology,female,Dolby Laboratories,"Bachelor of Arts / Science, Heidelberg University",1,1,North America,2017,,1965,Relation,The Consistent,
Harry Stine,3.5,75,United States,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Food and Beverage,male,"agriculture, Self Made",NA,0,1,North America,2017,,1965,,The Consistent,24
Peter Kellogg,3.5,74,United States,N,Y,N,N,N,N,N,N,2007,11,0,0,0,Investments,male,investments,"Drop Out, Babson College",0,1,North America,2017,,,,The Consistent,
Nusli Wadia,3.5,73,India,N,N,N,N,N,N,N,N,2017,1,0,0,0,Retail,male,consumer products,NA,0,1,Asia,2017,,,,The Newbie,
Donald Trump,3.5,70,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Real Estate,male,"television, real estate","Bachelor of Arts / Science, University of Pennsylvania",1,1,North America,2017,,1920,,The Consistent,
Lars Larsen,3.5,68,Denmark,Y,N,N,N,N,N,N,N,2011,7,0,0,0,Retail,male,"retail, Self Made",NA,0,1,Europe,2017,,,,The Consistent,
Vladimir Yevtushenkov,3.5,68,Russia,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Telecom,male,"telecom, Self Made","Bachelor of Arts / Science, Mendeleyev Chemical Engin; Master of Science, Moscow State University",2,1,Europe,2017,,1993,Founder/Chairman,The Consistent,45
Daniela Herz,3.5,63,Germany,N,N,N,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,female,coffee,NA,0,1,Europe,2017,,1949,,The Consistent,
Ravi Pillai,3.5,63,India,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Construction and Engineering,male,"construction, Self Made",NA,0,1,Asia,2017,,1979,Chairman,The Consistent,
Pang Kang,3.5,61,China,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Food and Beverage,male,"soy sauce maker, Self Made",NA,0,1,Asia,2017,,1720,,The Consistent,
Antti Herlin,3.5,60,Finland,N,N,N,N,N,N,N,N,2010,8,0,0,0,Manufacturing,male,"elevators, escalators",NA,0,1,Europe,2017,,,Relation,The Consistent,
Jaime Gilinski Bacal,3.5,59,Colombia,N,N,N,N,Y,N,N,N,2013,5,0,0,0,Finance,male,banking,"Master of Business Administration, Harvard Business School",1,1,South America,2017,,,,The Consistent,
Alexandra Schoerghuber,3.5,58,Germany,N,N,N,N,N,N,N,N,2009,9,0,0,0,Real Estate,female,real estate,NA,0,1,Europe,2017,,,,The Consistent,
Yuri Milner,3.5,55,Russia,Y,N,Y,N,Y,N,N,N,2011,7,0,0,0,Investments,male,"Facebook, investments, Self Made","Bachelor of Arts / Science, Moscow State University; Master of Business Administration, Wharton School",2,1,Europe,2017,,1999,Founder,The Consistent,38
Daniel Servitje Montull,3.5,51,Mexico,N,N,N,N,Y,N,N,N,2011,1,1,0,0,Food and Beverage,male,bakeries,"Master of Business Administration, Stanford Graduate School of Business",1,0.14,South America,2011,2012,,,The Ghost,
Christa Gelpke,3.4,NA,Germany,N,N,N,N,N,N,N,N,2015,1,1,0,0,Health care,male,pharmaceuticals,NA,0,0.33,Europe,2015,2016,,,The Newbie,
Juan Cuneo Solari,3.4,NA,Chile,N,N,N,N,N,N,N,N,2013,1,1,0,0,Retail,male,NA,NA,0,0.2,South America,2013,2014,,,The Ghost,
Teresa Matilde Solari Falabella,3.4,NA,Chile,N,N,N,N,N,N,N,N,2013,1,1,0,0,Retail,female,retail,NA,0,0.2,South America,2013,2014,,,The Ghost,
Chang-Woo Han,3.4,86,Japan,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Gaming,male,"pachinko parlors, Self Made",NA,0,1,Asia,2017,,,,The Consistent,
Sumet Jiaravanon,3.4,82,Thailand,N,N,N,N,N,N,N,N,2016,2,0,0,0,Diversified,male,diversified,NA,0,1,Asia,2017,,,,The Newbie,
Heinz-Georg Baus,3.4,82,Germany,Y,N,N,N,N,N,N,N,2013,4,1,0,0,Retail,male,"home improvement stores, Self Made",NA,0,0.8,Europe,2016,2017,,,The Consistent,
Melvin Simon,3.4,82,United States,Y,N,Y,N,Y,N,N,N,2007,3,1,0,0,Real Estate,male,NA,NA,0,0.27,North America,2009,2010,,,The Ghost,
George Lindemann,3.4,81,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, University of Pennsylvania Wharton School",1,1,North America,2017,,,Chairman And Ceo,The Consistent,
Gayle Cook,3.4,80,United States,Y,N,Y,N,N,N,N,N,2012,3,1,0,0,Health care,female,"medical devices, Self Made","Bachelor of Arts / Science, Indiana University",1,0.5,North America,2014,2015,1963,Founder,The Hustler,30
Gerard Louis-Dreyfus,3.4,74,France,N,N,N,N,N,Y,Y,N,2007,1,1,0,0,Investments,male,commodities,"Duke University, Doctor of Jurisprudence",1,0.09,Europe,2007,2008,1851,Relation,The Ghost,
Rosalia Mera,3.4,69,Spain,Y,N,N,N,N,N,N,N,2007,7,1,0,0,Fashion and Retail,female,"Zara, Self Made",NA,0,0.64,Europe,2013,2014,,,The Ghost,
Tony Tan Caktiong,3.4,64,Philippines,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Retail,male,"fast food, Self Made",NA,0,1,Asia,2017,,,,The Consistent,
Randal Kirk,3.4,63,United States,Y,N,Y,N,N,Y,Y,N,2008,10,0,0,0,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, Radford; Doctor of Jurisprudence, University of Virginia",2,1,North America,2017,,1984,,The Consistent,31
Jeff Greene,3.4,62,United States,Y,N,Y,N,Y,N,N,N,2009,9,0,0,0,Real Estate,male,"real estate, investments, Self Made","Bachelor of Arts / Science, Johns Hopkins University; Master of Business Administration, Harvard University",2,1,North America,2017,,,Founder,The Consistent,
Andrej Babis,3.4,62,Czech Republic,Y,N,N,N,N,N,N,N,2010,8,0,0,0,Food and Beverage,male,"agriculture, Self Made",NA,0,1,Europe,2017,,1993,,The Consistent,39
Li Shuirong,3.4,60,China,Y,N,N,N,N,N,N,N,2011,7,0,0,0,Manufacturing,male,"petrochemicals, Self Made",NA,0,1,Asia,2017,,1995,,The Consistent,39
Mark Cuban,3.4,58,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Media,male,"online media, Self Made","Bachelor of Arts / Science, Indiana University",1,1,North America,2017,,1995,,The Consistent,37
Enrique Razon,3.4,57,Philippines,N,N,N,N,N,N,N,N,2012,6,0,0,0,Logistics,male,ports,NA,0,1,Asia,2011,2012,,,The Consistent,
Anthony Pritzker,3.4,56,United States,N,N,Y,N,Y,N,N,N,2007,11,0,0,0,Service,male,"hotels, investments","Bachelor of Arts / Science, Dartmouth College; Master of Business Administration, Booth School of Business",2,1,North America,2017,,,,The Consistent,
Yu Yong,3.4,56,China,Y,N,N,N,N,N,N,N,2011,4,1,1,3,Metals and Mining,male,"mining, Self Made",NA,0,0.57,Asia,2017,2012,,,The Hustler,
Sun Guangxin,3.4,54,China,Y,N,N,Y,N,N,N,N,2008,10,0,0,0,Diversified,male,"diversified, Self Made","Master of Arts, Chinese Academy of Social Sciences; EMBA, Tianjin University",2,1,Asia,2017,,1989,Founder,The Consistent,27
Anand Jain,3.4,53,India,Y,N,Y,N,N,N,N,N,2008,2,2,1,1,Diversified,male,"diversified, Self Made","Bachelor of Arts / Science, University of Bombay",1,0.2,Asia,2010,2011,,,The Ghost,
Jay Robert (J.B.) Pritzker,3.4,52,United States,N,N,Y,N,N,Y,Y,N,2007,11,0,0,0,Real Estate,male,"hotels, investments","Bachelor of Arts / Science, Duke University; Doctor of Jurisprudence, Northwestern University",2,1,North America,2017,,,,The Consistent,
Samvel Karapetyan,3.4,51,Russia,Y,N,Y,N,N,N,N,N,2011,7,0,0,0,Construction and Engineering,male,"real estate, Self Made","Bachelor of Arts / Science, Yerevan Polytechnic Institute",1,1,Europe,2017,,1999,,The Consistent,34
David Filo,3.4,50,United States,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Software,male,"Yahoo, Self Made","Bachelor of Arts / Science, Tulane University; Master of Science, Stanford University",2,1,North America,2017,,1994,Founder,The Consistent,28
Che Jianxing,3.4,50,China,Y,N,N,N,N,N,N,N,2011,5,1,1,2,Retail,male,"furniture retailing, Self Made",NA,0,0.71,Asia,2017,2014,,,The Hustler,
Alejandro Bulgheroni,3.3,-,Argentina,N,N,N,N,N,N,N,N,2017,1,0,0,0,Energy,male,"Buenos Aires, Argentina",NA,0,1,South America,2017,,,,The Newbie,
Jaran Chiaravanont,3.3,87,Thailand,N,N,N,N,N,N,N,N,2016,2,0,0,0,Diversified,male,diversified,NA,0,1,Asia,2017,,,,The Newbie,
Montri Jiaravanont,3.3,86,Thailand,N,N,N,N,N,N,N,N,2016,2,0,0,0,Diversified,male,diversified,NA,0,1,Asia,2017,,,,The Newbie,
Abilio dos Santos Diniz,3.3,80,Brazil,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Retail,male,retail,"Bachelor of Arts / Science, Fundacao Getulio Vargas",1,1,South America,2017,,,,The Consistent,
Gustaf Douglas,3.3,79,Sweden,Y,N,N,N,Y,N,N,N,2007,11,0,0,0,Investments,male,"investments, Self Made","Master of Business Administration, Harvard University",1,1,Europe,2017,,1984,,The Consistent,47
Donna MacMillan,3.3,79,United States,N,N,N,N,N,N,N,N,2012,1,1,0,0,Agriculture,female,Cargill Inc.,NA,0,0.17,North America,2012,2013,,,The Ghost,
Miguel Fluxa Rossello,3.3,78,Spain,N,N,N,N,N,N,N,N,2016,2,0,0,0,Service,male,hotels,NA,0,1,Europe,2017,,,,The Newbie,
Arthur Blank,3.3,74,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Sports,male,"Home Depot, Self Made","Bachelor of Arts / Science, Babson College",1,1,North America,2017,,,,The Consistent,
Bernard Broermann,3.3,73,Germany,Y,N,N,N,Y,N,N,N,2009,9,0,0,0,Health care,male,"hospitals, Self Made","Master of Business Administration, Harvard University",1,1,Europe,2017,,1984,,The Consistent,41
Rainer Blickle,3.3,69,Germany,N,N,N,N,N,N,N,N,2015,3,0,0,0,Automotive,male,auto parts,NA,0,1,Europe,2017,,,,The Newbie,
John Catsimatidis,3.3,68,United States,Y,Y,N,N,N,N,N,N,2008,10,0,0,0,Energy,male,"oil, real estate, Self Made","Drop Out, New York University",0,1,North America,2017,,,,The Consistent,
Alain Bouchard,3.3,68,Canada,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Retail,male,"retail, Self Made",NA,0,1,North America,2017,,,,The Consistent,
Edwin Leong,3.3,65,Hong Kong,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,1977,,The Consistent,26
Qiu Guanghe,3.3,65,China,Y,N,N,N,N,N,N,N,2011,7,0,0,0,Fashion and Retail,male,"fashion retail, Self Made",NA,0,1,Asia,2017,,,,The Consistent,
Shaul Shani,3.3,62,Israel,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Technology,male,"telecom, Self Made",NA,0,1,Middle East,2017,,1961,Founder,The Consistent,
Walter Faria,3.3,62,Brazil,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Food and Beverage,male,"beer, Self Made",NA,0,1,South America,2017,,1994,Founder,The Consistent,
Lin Xiucheng,3.3,61,China,Y,N,Y,N,N,N,N,N,2010,7,1,1,1,Technology,male,"electronics, Self Made","Bachelor of Arts / Science, Xiamen University",1,0.88,Asia,2017,2013,2000,Chairman,The Consistent,
Shi Yuzhu,3.3,54,China,Y,N,Y,Y,N,N,N,N,2008,10,0,0,0,Diversified,male,"online games, investments, Self Made","Bachelor of Arts / Science, Zhejiang University; Master of Science, Shenzhen University",2,1,Asia,2017,,2005,Founder,The Consistent,43
Wang Yusuo,3.3,53,China,Y,N,Y,N,N,Y,N,N,2012,6,0,0,0,Energy,male,"natural gas distribution, Self Made","Doctorate, Tianjin University; Bachelor of Arts / Science, People's University of China",2,1,Asia,2017,,1992,Founder,The Consistent,29
Tom Gores,3.3,52,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Finance,male,"private equity, Self Made","Bachelor of Arts / Science, Michigan State University",1,1,North America,2017,,1995,Founder,The Consistent,31
Johan Johannson,3.3,50,Norway,N,N,N,N,N,N,N,N,2014,4,0,0,0,Retail,male,grocery stores,NA,0,1,Europe,2017,,,,The Consistent,
Alexander Svetakov,3.3,49,Russia,Y,N,Y,N,N,N,N,N,2008,7,1,1,3,Finance,male,"banking, real estate, Self Made","Bachelor of Science in Engineering, Moscow Institute of Electronic Technology",1,0.7,Europe,2017,2009,,,The Hustler,
Kapil & Rahul Bhatia,3.2,-,India,Y,N,Y,N,N,N,N,N,2016,2,0,0,0,Automotive,family,"airlines, Self Made","Bachelor of Science in Engineering, University of Waterloo",1,1,Asia,2017,,,,The Newbie,
Kuldip Singh & Gurbachan Singh Dhingra,3.2,-,India,Y,N,Y,N,N,N,N,N,2015,3,0,0,0,Metals and Mining,family,"paints, Self Made","Bachelor of Arts / Science, Delhi University",1,1,Asia,2017,,,,The Newbie,
Sudhir & Samir Mehta,3.2,-,India,N,N,Y,N,N,N,N,N,2010,5,1,1,3,Diversified,family,"Ahmedabad, India","Bachelor of Arts / Science, Gujarat University",1,0.63,Asia,2017,2012,,,The Hustler,
Nicolas Hayek,3.2,81,Switzerland,N,N,N,N,N,N,N,N,2007,4,1,0,0,Retail,male,Swatch,NA,0,0.36,Europe,2010,2011,1986,Founder,The Ghost,58
Amos Hostetter,3.2,80,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Media,male,"cable television, Self Made","Bachelor of Arts / Science, Amherst College; Master of Business Administration, Harvard University",2,1,North America,2017,,,,The Consistent,
Neil Bluhm,3.2,79,United States,Y,N,Y,N,N,Y,Y,N,2007,11,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, University of Illinois, Urbana-Champaign; Doctor of Jurisprudence, Northwestern University",2,1,North America,2017,,1969,,The Consistent,32
Lindsay Fox,3.2,79,Australia,Y,N,N,N,N,N,N,N,2008,10,0,0,0,Logistics,male,"logistics, real estate, Self Made",NA,0,1,Oceania,2017,,1956,Founder,The Consistent,19
