Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
John Kapoor,1.7,73,United States,Y,N,Y,N,N,N,N,N,2014,4,0,0,0,Health care,male,"healthcare, Self Made","Bachelor of Arts / Science, Bombay University; Ph.D, SUNY Buffalo",2,1,North America,2017,,1990,,The Consistent,47
Lim Oon Kuin,1.7,73,Singapore,Y,N,N,N,N,N,N,N,2013,4,1,1,1,Energy,male,"oil trading, Self Made",NA,0,0.8,Asia,2017,2015,1963,Founder,The Consistent,20
Koo Bon-Moo,1.7,72,South Korea,N,N,N,Y,N,N,N,N,2008,9,1,1,1,Diversified,male,"electronics, chemicals, household products","Master, Cleveland State University",1,0.9,Asia,2017,2009,1947,Relation,The Consistent,
Mofatraj Munot,1.7,72,India,Y,N,N,N,N,N,N,N,2011,6,1,1,1,Real Estate,male,"real estate, Self Made",NA,0,0.86,Asia,2017,2012,1969,,The Consistent,25
Dieter Schnabel,1.7,71,Germany,N,N,N,N,N,N,N,N,2007,11,0,0,0,Manufacturing,male,chemicals,NA,0,1,Europe,2017,,1950,,The Consistent,
Katsumi Tada,1.7,71,Japan,Y,N,N,N,N,N,N,N,2008,10,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,1974,Founder,The Consistent,29
Anthony O'Reilly,1.7,71,Ireland,Y,N,Y,N,N,Y,N,N,2007,2,1,0,0,Media,male,"selfmade, food, media","University of Dublin, Bachelor of Arts / Science; University of Bradford England, Doctorate",2,0.18,Europe,2008,2009,1904,Chairman,The Ghost,
Gay Simplot,1.7,71,United States,N,N,N,N,N,N,N,N,2016,1,1,0,0,Manufacturing,female,fertilizer,NA,0,0.5,North America,2016,2017,,,The Newbie,
Masateru Uno,1.7,70,Japan,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Retail,male,"drugstores, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Roberto Angelini Rossi,1.7,68,Chile,N,N,Y,N,N,N,N,N,2012,6,0,0,0,Diversified,male,"forestry, mining","Bachelor of Arts / Science, Pontificia Universidad de Chile",1,1,South America,2017,,,Relation,The Consistent,
