Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
United States,Y,Y,N,Food and Beverage,1971,NA,18,The Hustler,Howard Schultz
United States,Y,Y,N,Media,2013,Founder,59,The Consistent,Oprah Winfrey
Italy,Y,N,N,Fashion and Retail,1978,NA,23,The Consistent,Renzo Rosso
United States,Y,Y,N,Technology,1991,Founder,32,The Consistent,Henry Nicholas
Russia,Y,Y,N,Logistics,1957,NA,-8,The Consistent,Alexander Ponomarenko
Russia,Y,N,N,Real Estate,NA,Founder,NA,The Consistent,Zarakh Iliev
Russia,Y,N,N,Logistics,1958,Chairman,-10,The Consistent,Alexander Skorobogatko
Australia,N,N,N,Diversified,1936,Relation,-32,The Consistent,James Packer
St. Kitts and Nevis,Y,N,N,Fashion and Retail,1999,NA,28,The Consistent,Jacky Xu
United States,Y,Y,N,Finance,2003,Founder,30,The Consistent,John Arnold
United States,Y,Y,N,Technology,2005,Founder,28,The Consistent,Robert Pera
United Kingdom,Y,N,N,Sports,1974,NA,44,The Consistent,Bernard Ecclestone
United States,N,N,N,Retail,1886,Relation,-43,The Hustler,Herbert Louis
Morocco,Y,N,N,Diversified,1948,Founder,20,The Hustler,Miloud Chaabi
Spain,Y,N,N,Construction and Engineering,1911,CEO/Chairman,-21,The Consistent,Juan-Miguel Villar Mir
United States,N,N,N,Retail,1886,NA,-45,The Hustler,Josephine Louis
United States,Y,Y,Y,Real Estate,1970,Founder,32,The Consistent,Mortimer Zuckerman
Brazil,Y,N,N,Finance,1955,Founder,21,The Hustler,Moise Safra
France,N,N,N,Food and Beverage,1936,Relation,-7,The Consistent,Jean Pierre Cayard
Singapore,Y,Y,N,Technology,1984,NA,40,The Consistent,Jason Chang
United Kingdom,N,Y,N,Construction and Engineering,1945,Relation,-1,The Consistent,Anthony Bamford
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent,Edward DeBartolo
United States,Y,Y,N,Manufacturing,1989,NA,41,The Consistent,Min Kao
United States,N,N,N,Automotive,NA,NA,NA,The Consistent,Mark Shoen
United States,N,Y,N,Manufacturing,1670,Relation,-282,The Consistent,Anita Zucker
China,Y,N,N,Food and Beverage,1984,Founder,31,The Consistent,Chanchai Ruayrungruang
United States,N,Y,Y,Energy,1919,Relation,-38,The Consistent,Lee Bass
United States,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent,Tilman Fertitta
Norway,Y,N,N,Logistics,NA,Founder,NA,The Consistent,Kjell Inge Rokke
South Korea,Y,Y,N,Finance,1997,NA,39,The Consistent,Park Hyeon-Joo
United States,Y,Y,N,Finance,1995,NA,34,The Consistent,Daniel Loeb
Canada,Y,Y,N,Health care,NA,NA,NA,The Consistent,Daryl Katz
United States,Y,Y,N,Media,NA,NA,NA,The Consistent,A. Jerrold Perenchio
Norway,N,Y,N,Logistics,NA,NA,NA,The Consistent,Arne Wilhelmsen
Thailand,Y,N,N,Health care,1969,Founder,37,The Consistent,Prasert Prasarttong-Osoth
United States,Y,Y,N,Service,NA,NA,NA,The Consistent,B. Wayne Hughes
United States,Y,Y,N,Real Estate,1960,Founder,26,The Consistent,Herbert Simon
Netherlands,Y,N,N,Investments,NA,Relation,NA,The Consistent,Hans Melchers
Austria,N,N,N,Retail,NA,NA,NA,The Consistent,Heidi Horten
United States,N,Y,N,Health care,1886,Relation,-51,The Ghost,Barbara Piasecka Johnson
United States,N,Y,Y,Energy,1919,Relation,-23,The Consistent,Sid Bass
United States,Y,N,N,Media,1986,CEO/Chairman,44,The Consistent,Barry Diller
Chile,N,Y,N,Manufacturing,1920,Relation,-24,The Consistent,Patricia Matte
Chile,N,Y,Y,Manufacturing,1920,NA,-26,The Hustler,Eliodoro Matte
United Kingdom,Y,N,N,Finance,1981,Founder,35,The Consistent,Peter Hargreaves
United States,Y,Y,N,Real Estate,1979,NA,30,The Hustler,Jorge Perez
Hong Kong,Y,N,N,Real Estate,1990,NA,39,The Consistent,Huang Shih Tsai
Indonesia,Y,Y,Y,Diversified,NA,NA,NA,The Consistent,Tahir
United States,N,N,N,Health care,1941,Relation,-15,The Consistent,Pat Stryker
Chile,N,Y,N,Manufacturing,1920,NA,-36,The Consistent,Bernardo Matte
Spain,N,Y,Y,Construction and Engineering,1952,Relation,-7,The Hustler,Rafael Del Pino y Calvo-Sotelo
China,Y,N,Y,Diversified,2000,NA,40,The Consistent,Chen Fashu
United States,Y,Y,Y,Investments,2006,NA,45,The Consistent,Jim Breyer
United States,N,Y,N,Food and Beverage,1891,Relation,-73,The Consistent,William Wrigley
Israel,Y,N,N,Software,1993,Founder,26,The Consistent,Gil Shwed
Germany,N,N,N,Media,1875,Relation,-102,The Consistent,Yvonne Bauer
Germany,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Michael & Reiner Schmidt-Ruthenbeck
United States,Y,N,N,Food and Beverage,1851,CEO/Chairman,-72,The Consistent,David Murdock
United States,Y,N,N,Logistics,1961,Founder,30,The Consistent,Johnelle Hunt
United States,Y,Y,N,Health care,1941,NA,6,The Consistent,John Brown
Portugal,N,N,N,Retail,NA,NA,NA,The Consistent,Alexandre Soares dos Santos
Italy,Y,N,N,Fashion and Retail,1965,Founder,30,The Consistent,Luciano Benetton
United States,Y,N,N,Investments,1968,Founder,31,The Consistent,H. Wayne Huizenga
Italy,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Giuliana Benetton
Singapore,N,N,N,Diversified,1948,Relation,7,The Hustler,Kwek Leng Beng
United States,Y,N,N,Energy,1995,NA,54,The Consistent,Ray Davis
Italy,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Gilberto Benetton
India,N,Y,N,Manufacturing,1942,NA,-1,The Consistent,Ashwin Dani
Italy,Y,N,N,Fashion and Retail,NA,Founder,NA,The Consistent,Carlo Benetton
Ireland,N,N,N,Food and Beverage,1869,Relation,-75,The Consistent,John Dorrance
United States,Y,Y,N,Finance,1977,NA,33,The Consistent,Paul Singer
Canada,Y,Y,N,Technology,NA,NA,NA,The Consistent,"Robert Miller, electronics"
Germany,N,N,N,Manufacturing,1961,Relation,14,The Consistent,Friedhelm Loh
Egypt,Y,N,Y,Diversified,1952,Relation,4,The Consistent,Mohamed Mansour
Germany,N,N,N,Construction and Engineering,1920,NA,-28,The Consistent,Otto Happel
Switzerland,N,N,N,Investments,1912,Relation,-36,The Consistent,Stephan Schmidheiny
Chile,Y,N,N,Politics,1976,NA,27,The Consistent,Sebastian Pinera
Switzerland,N,N,N,Software,NA,Relation,NA,The Consistent,Martin Haefner
Peru,N,Y,Y,Finance,1994,Founder,35,The Consistent,Carlos Rodriguez-Pastor
India,N,Y,Y,Diversified,1980,NA,20,The Consistent,Anil Ambani
China,Y,N,N,Real Estate,1993,President,33,The Consistent,Huang Wei
India,N,Y,N,Real Estate,NA,NA,NA,The Ghost,Rakesh Wadhawan
United States,Y,Y,Y,Finance,1990,Founder,28,The Consistent,Marc Rowan
China,Y,Y,N,Real Estate,1995,Founder,33,The Consistent,Cai Kui
China,Y,N,N,Automotive,1995,NA,33,The Consistent,Lu Xiangyang
Poland,Y,N,N,Investments,1945,Investor,-18,The Consistent,Michal Solowow
United States,Y,Y,Y,Finance,1990,NA,26,The Consistent,Joshua Harris
Japan,Y,N,N,Telecom,1988,NA,24,The Hustler,Yasumitsu Shigeta
Russia,Y,N,N,Manufacturing,1995,Founder,33,The Hustler,Andrei Klyamko
Russia,Y,Y,N,Manufacturing,1995,Founder,31,The Hustler,Vadim Novinsky
United States,Y,Y,N,Software,NA,Founder,NA,The Consistent,Peter Thiel
United States,Y,Y,N,Energy,1976,Founder,57,The Ghost,George Mitchell
Saudi Arabia,Y,N,N,Investments,1979,NA,55,The Consistent,Mohammed Al Issa
United States,Y,N,N,Sports,NA,NA,NA,The Consistent,Tom Benson
Colombia,Y,N,N,Food and Beverage,1904,Relation,-27,The Consistent,Carlos Ardila Lulle
United States,Y,Y,N,Fashion and Retail,1969,NA,38,The Consistent,Doris Fisher
Canada,Y,Y,N,Retail,NA,NA,NA,The Consistent,"Robert Miller, Retail"
France,Y,N,Y,Service,1996,NA,61,The Consistent,Philippe Foriel-Destezet
Canada,N,Y,N,Retail,1956,Founder,27,The Ghost,Wallace McCain
Japan,N,N,N,Real Estate,NA,Relation,NA,The Consistent,Yoshiko Mori
Switzerland,N,N,N,Food and Beverage,1931,Relation,-11,The Consistent,Hans Peter Wild
United States,Y,N,N,Health care,1991,NA,47,The Consistent,Robert Duggan
Lebanon,Y,Y,N,Telecom,1982,Founder,38,The Consistent,Taha Mikati
Philippines,N,N,N,Diversified,NA,NA,NA,The Ghost,Jaime Zobel de Ayala
Germany,N,Y,N,Media,NA,NA,NA,The Ghost,Heinz Bauer
Germany,Y,N,N,Retail,NA,NA,NA,The Consistent,Dirk Rossmann
France,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent,Louis Le Duff
Russia,Y,Y,N,Construction and Engineering,NA,Founder,NA,The Consistent,Arkady Rotenberg
China,Y,Y,N,Health care,1993,Founder,41,The Hustler,Lei Jufang
Taiwan,N,N,N,Finance,1962,Relation,9,The Hustler,Tsai Hong-tu
India,N,Y,N,Diversified,NA,NA,NA,The Hustler,Rajan Raheja
United States,Y,Y,Y,Finance,NA,NA,NA,The Consistent,Stephen Mandel
Lebanon,Y,Y,Y,Telecom,1982,Founder,27,The Consistent,Najib Mikati
Canada,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Lawrence Stroll
Australia,Y,N,Y,Manufacturing,1948,NA,-17,The Consistent,Fiona Geminder
United Kingdom,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Michael Ashley
South Korea,N,Y,Y,Automotive,1967,Relation And Chairman,-4,The Consistent,Chung Eui-Sun
United States,Y,N,N,Software,NA,Founder,NA,The Consistent,Sean Parker
Spain,N,N,N,Manufacturing,1958,Relation,-3,The Hustler,Juan Maria Riberas Mera
Germany,N,N,N,Retail,NA,NA,NA,The Consistent,Guenther Lehmann
United States,Y,Y,N,Food and Beverage,NA,NA,NA,The Consistent,Peter Buck
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost,T. Boone Pickens
United States,Y,N,N,Diversified,NA,NA,NA,The Consistent,Phillip Ruffin
United States,Y,Y,N,Real Estate,1960,NA,24,The Consistent,John Arrillaga
United States,Y,Y,N,Technology,NA,NA,NA,The Ghost,Ray Dolby
United States,Y,N,N,Energy,1981,NA,44,The Consistent,George Bishop
United States,Y,Y,Y,Investments,NA,NA,NA,The Consistent,"Wilbur Ross, Jr."
United States,Y,Y,N,Finance,1982,NA,45,The Consistent,Patrick Ryan
United States,Y,Y,N,Real Estate,1960,NA,22,The Consistent,Richard Peery
India,N,N,N,Real Estate,1956,Founder,15,The Consistent,Chandru Raheja
United States,Y,Y,N,Gaming,NA,Founder,NA,The Consistent,Steve Wynn
India,N,Y,N,Diversified,1897,Relation,-45,The Consistent,Adi Godrej
United States,Y,Y,N,Finance,1992,NA,50,The Consistent,David Bonderman
Australia,N,N,N,Retail,1948,Relation,13,The Ghost,Richard Pratt
United States,Y,Y,Y,Finance,1971,Founder,28,The Consistent,Bill Gross
United States,Y,Y,N,Automotive,NA,NA,NA,The Consistent,Don Hankey
United States,Y,N,N,Real Estate,NA,Founder,NA,The Consistent,Ty Warner
United States,Y,Y,Y,Finance,1987,Founder,41,The Consistent,Daniel D'Aniello
United States,N,Y,N,Media,NA,NA,NA,The Consistent,Kenneth Feld
India,N,Y,N,Diversified,1897,NA,-52,The Consistent,Jamshyd Godrej
United States,Y,Y,Y,Finance,NA,NA,NA,The Consistent,William Conway
United States,Y,N,N,Sports,1981,Founder,32,The Consistent,John Henry
United States,Y,Y,N,Finance,1987,NA,38,The Consistent,David Rubenstein
Chile,Y,N,N,Finance,1871,NA,-79,The Consistent,Alvaro Saieh Bendeck
Hong Kong,Y,N,N,Retail,NA,NA,NA,The Consistent,Michael Ying
United States,Y,Y,N,Technology,1997,Founder,47,The Consistent,Bob Parsons
Sweden,Y,N,Y,Investments,1989,Investor,37,The Consistent,Carl Bennet
India,N,N,N,Diversified,1897,Relation,-55,The Consistent,Rishad Naoroji
United States,Y,Y,Y,Software,1993,Founder,41,The Consistent,Thomas Siebel
Philippines,Y,Y,N,Diversified,NA,NA,NA,The Consistent,Andrew Tan
Greece,N,N,N,Retail,1952,Relation,-2,The Consistent,Philip Niarchos
Spain,N,N,N,Investments,1952,Relation,-3,The Consistent,Alicia Koplowitz
Romania,Y,N,N,Energy,NA,NA,NA,The Ghost,Dinu Patriciu
United States,N,Y,Y,Finance,1933,NA,-24,The Consistent,Warren Stephens
Switzerland,N,N,N,Technology,1976,Relation,19,The Consistent,Eva Maria Bucher-Haefner
Poland,Y,N,N,Media,1992,Founder,36,The Consistent,Zygmunt Solorz-Zak
United Arab Emirates,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost,Khalaf Al Habtoor
United States,N,Y,N,Health care,1941,Relation,-18,The Consistent,Jon Stryker
United States,N,Y,N,Sports,1953,NA,-7,The Consistent,James Irsay
United States,N,Y,Y,Real Estate,NA,NA,NA,The Consistent,Penny Pritzker
Russia,Y,N,N,Investments,1999,NA,40,The Consistent,Alexander Mamut
United States,N,N,N,Retail,NA,NA,NA,The Ghost,Ronald Burkle
United States,N,Y,N,Service,NA,NA,NA,The Consistent,Jean (Gigi) Pritzker
China,Y,Y,N,Technology,2001,NA,34,The Consistent,Fu Liquan
Spain,N,N,N,Manufacturing,1958,Relation,-7,The Hustler,Francisco Jose Riberas Mera
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost,Wesley Edens
China,Y,N,Y,Energy,NA,NA,NA,The Ghost,Xiaofeng Peng
Brazil,N,Y,N,Finance,1925,Relation,4,The Consistent,Aloysio de Andrade Faria
United States,Y,Y,N,Real Estate,1960,NA,37,The Consistent,Alexander Spanos
Turkey,N,N,N,Diversified,NA,NA,NA,The Consistent,Semahat Sevim Arsel
Turkey,Y,Y,N,Construction and Engineering,1957,Founder,27,The Consistent,Sarik Tara
Japan,Y,N,N,Gaming,1973,Founder,31,The Consistent,Kazuo Okada
United States,Y,Y,N,Health care,1979,Founder,36,The Consistent,Judy Faulkner
Spain,Y,N,N,Gaming,NA,NA,NA,The Consistent,Manuel Lao Hernandez
United States,Y,Y,Y,Food and Beverage,1990,NA,44,The Consistent,C. Dean Metropoulos
India,N,N,N,Construction and Engineering,1961,NA,12,The Hustler,Baba Kalyani
United States,N,N,N,Sports,1944,Relation,-7,The Consistent,Denise York
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent,John Pritzker
United States,Y,Y,N,Media,1981,Founder,27,The Consistent,Thomas Secunda
Singapore,N,N,N,Real Estate,1947,NA,-8,The Consistent,Raj Kumar & Kishin RK
Turkey,N,N,N,Media,NA,Chairman,NA,The Ghost,Mehmet Karamehmet
Denmark,N,N,N,Fashion and Retail,1963,NA,5,The Consistent,Hanni Toosbuy Kasprzak
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Viktor Nusenkis
Russia,Y,Y,N,Finance,NA,NA,NA,The Consistent,Alexander Nesis
China,Y,N,N,Retail,NA,NA,NA,The Consistent,Shen Guojun
Russia,Y,Y,N,Fashion and Retail,NA,NA,NA,The Consistent,Igor Kesaev
India,Y,N,N,Energy,NA,NA,NA,The Ghost,Tulsi Tanti
United Kingdom,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Hawken Xiu Li
Vietnam,Y,N,N,Real Estate,1993,NA,25,The Consistent,Pham Nhat Vuong
Czech Republic,Y,N,N,Real Estate,1997,NA,26,The Consistent,Radovan Vitek
United States,N,Y,N,Food and Beverage,1889,NA,-97,The Hustler,Julio Mario Santo Domingo
Taiwan,N,N,N,Finance,1962,NA,NA,The Hustler,Tsai Cheng-da
Norway,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Olav Thon
Canada,N,Y,N,Food and Beverage,1857,Relation,-75,The Consistent,Charles Bronfman
Argentina,Y,N,N,Diversified,NA,NA,NA,The Consistent,Eduardo Eurnekian
United States,N,Y,N,Media,1925,Founder,-9,The Consistent,Stanley Hubbard
Hong Kong,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Tang Yiu
United States,Y,Y,N,Media,1970,Founder,32,The Consistent,Ted Turner
South Korea,Y,N,N,Construction and Engineering,1983,Founder,43,The Consistent,Lee Joong-Keun
Saudi Arabia,Y,N,Y,Diversified,1969,NA,29,The Consistent,Saleh Kamel
United States,N,Y,Y,Investments,1975,Founder,34,The Hustler,J Joseph Ricketts
France,N,N,N,Fashion and Retail,1837,NA,-106,The Consistent,Nicolas Puech
China,Y,N,N,Health care,1971,NA,27,The Consistent,Xu Jingren
Thailand,N,N,N,Media,NA,Relation,NA,The Consistent,Krit Ratanarak
China,Y,N,N,Diversified,NA,Founder,NA,The Consistent,Song Zuowen
Sweden,N,N,N,Diversified,1939,NA,-10,The Consistent,Stefan Olsson
United States,Y,Y,Y,Software,1983,Founder,31,The Consistent,Scott Cook
China,Y,N,N,Health care,NA,NA,NA,The Consistent,Jiang Rensheng
United States,Y,Y,N,Software,2004,Vice President,49,The Consistent,Jeff Rothschild
United Kingdom,Y,Y,N,Diversified,NA,Founder,NA,The Consistent,Farhad Moshiri
United States,Y,Y,Y,Technology,1935,NA,-22,The Consistent,Meg Whitman
Canada,Y,Y,N,Fashion and Retail,1998,Founder,42,The Consistent,Chip Wilson
Norway,Y,N,N,Retail,NA,NA,NA,The Consistent,Stein Erik Hagen
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Anatoly Skurov
Mexico,N,N,N,Retail,1890,NA,-66,The Consistent,Jose and Francisco Jose Calderon Rojas
Japan,Y,N,N,Finance,1967,Founder,20,The Ghost,Yoshitaka Fukuda
Kazakhstan,Y,N,N,Metals and Mining,NA,Founder,NA,The Hustler,Bulat Utemuratov
China,Y,N,N,Manufacturing,2008,Founder,51,The Consistent,Zhu Gongshan
Spain,Y,Y,N,Construction and Engineering,NA,NA,NA,The Ghost,Luis del Rivero
China,Y,N,N,Real Estate,1992,Chairman,32,The Hustler,Chu Mang Yee
China,Y,N,Y,Metals and Mining,1989,NA,29,The Consistent,Feng Hailiang
United States,Y,Y,N,Finance,1995,NA,34,The Consistent,Noam Gottesman
Canada,Y,Y,N,Real Estate,1990,Founder,28,The Consistent,Mitchell Goldhar
Russia,Y,Y,N,Food and Beverage,NA,NA,NA,The Hustler,Vadim Moshkovich
Turkey,Y,N,N,Construction and Engineering,1994,NA,27,The Consistent,Erman Ilicak
China,Y,Y,N,Diversified,1992,NA,25,The Consistent,Liang Xinjun
Hong Kong,Y,N,N,Energy,NA,NA,NA,The Consistent,Sit Kwong Lam
United States,Y,Y,N,Software,1994,Founder,26,The Consistent,Jerry Yang
Saudi Arabia,N,Y,N,Construction and Engineering,NA,NA,NA,The Consistent,Saad Hariri
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Michael Rubin
United States,Y,Y,Y,Finance,NA,NA,NA,The Ghost,Peter Briger Jr
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost,Michael Novogratz
Turkey,N,Y,N,Diversified,NA,NA,NA,The Consistent,Mustafa Rahmi Koc
Indonesia,Y,N,N,Manufacturing,1980,Founder,50,The Consistent,Achmad Hamami
Netherlands,N,N,N,Manufacturing,1919,Relation,-16,The Consistent,Ralph Sonnenberg
United States,Y,Y,N,Real Estate,NA,NA,NA,The Consistent,George Argyros
United States,Y,Y,N,Retail,1974,Founder,45,The Ghost,Jess Jackson
United States,N,Y,N,Retail,NA,NA,NA,The Hustler,Charles Butt
South Africa,Y,N,N,Finance,NA,NA,NA,The Ghost,Donald Gordon
Spain,N,Y,N,Finance,1857,Relation,-78,The Ghost,Emilio Botin
Italy,Y,N,N,Finance,1982,Founder,42,The Consistent,Ennio Doris
United States,N,Y,Y,Real Estate,1927,Relation,-12,The Hustler,Richard Marriott
United Kingdom,N,Y,Y,Retail,NA,NA,NA,The Hustler,David Sainsbury
United States,Y,Y,N,Finance,1982,Founder,39,The Consistent,Ron Baron
United States,Y,Y,N,Finance,1974,Founder,31,The Consistent,Thomas Lee
China,Y,N,N,Manufacturing,NA,NA,NA,The Hustler,Ren Zhengfei
United States,Y,Y,N,Health care,1979,Founder,43,The Ghost,John Abele
United States,N,Y,N,Health care,1944,Relation,-2,The Consistent,Stewart Rahr
China,Y,N,N,Diversified,NA,NA,NA,The Ghost,Larry Yung
Spain,N,Y,Y,Service,1976,Relation,29,The Consistent,Helena Revoredo
United States,Y,N,N,Finance,NA,NA,NA,The Ghost,Ernest Rady
Peru,Y,Y,N,Retail,1967,Founder,24,The Hustler,Juan Fernando Belmont Anderson
China,Y,N,N,Manufacturing,1985,Founder,36,The Consistent,Sze Man Bok
United Kingdom,Y,N,N,Telecom,1986,NA,34,The Consistent,John Caudwell
China,Y,N,N,Manufacturing,1985,NA,32,The Consistent,Hui Lin Chit
Spain,Y,N,N,Fashion and Retail,1973,Founder,20,The Consistent,Isak Andic
United States,N,Y,N,Manufacturing,1875,CEO/Chairman,-80,The Consistent,Jeffrey Lorberbaum
United States,Y,N,N,Real Estate,1991,Founder,35,The Consistent,Brad Kelley
United States,Y,Y,Y,Finance,NA,Founder,NA,The Consistent,Joe Mansueto
South Korea,Y,Y,N,Health care,2002,NA,45,The Consistent,Seo Jung-Jin
France,N,N,Y,Retail,NA,NA,NA,The Ghost,Christian & Olivier Courtin-Clarins
China,Y,Y,N,Software,2001,Founder,43,The Consistent,Xue Xiangdong
United States,N,Y,N,Service,NA,Relation,NA,The Consistent,Daniel Pritzker
India,Y,N,N,Investments,1968,NA,7,The Consistent,Rakesh Jhunjhunwala
United States,N,Y,Y,Fashion and Retail,1969,Relation,7,The Consistent,John Fisher
United States,Y,N,N,Agriculture,1985,NA,24,The Consistent,Joseph Grendys
United States,Y,N,N,Sports,1988,Founder,24,The Consistent,Dan Snyder
Israel,Y,Y,N,Software,1993,Founder,28,The Consistent,Marius Nacht
Lebanon,N,Y,N,Real Estate,NA,Relation,NA,The Consistent,Bahaa Hariri
Czech Republic,Y,N,N,Energy,1995,NA,27,The Consistent,Karel Komarek
China,Y,N,N,Manufacturing,2003,Chairman,33,The Hustler,Du Jiangtao
Australia,Y,Y,N,Energy,NA,NA,NA,The Ghost,Shi Zhengrong
China,Y,N,N,Metals and Mining,2002,Chairman,28,The Consistent,Fang Wei
Japan,Y,N,N,Gaming,2008,Founder,31,The Consistent,Naruatsu Baba
United Kingdom,Y,N,N,Retail,NA,NA,NA,The Hustler,Mary & Douglas Perkins
Japan,Y,Y,N,Retail,NA,NA,NA,The Hustler,Taizo Son
Taiwan,N,N,N,Finance,1954,NA,NA,The Consistent,T.Y. Tsai
United Arab Emirates,N,N,N,Diversified,1960,Relation,36,The Consistent,Saif Al Ghurair
United States,Y,N,N,Food and Beverage,1940,Founder,15,The Consistent,S. Daniel Abraham
Germany,Y,N,N,Retail,NA,NA,NA,The Ghost,Eugen Viehof
United States,Y,Y,Y,Investments,1985,NA,59,The Consistent,Peter Peterson
Malaysia,Y,N,N,Diversified,NA,Founder,NA,The Consistent,Yeoh Tiong Lay
Germany,Y,N,N,Finance,1975,NA,47,The Hustler,Reinfried Pohl
United States,N,Y,N,Energy,1904,Relation,-30,The Consistent,Gordon Getty
Japan,N,Y,N,Real Estate,1923,Relation,-2,The Ghost,Fukuzo Iwasaki
Turkey,N,Y,N,Diversified,NA,NA,NA,The Hustler,Sevket Sabanci
United States,N,N,N,Real Estate,NA,NA,NA,The Ghost,John Marriott
Indonesia,N,N,N,Diversified,NA,NA,NA,The Consistent,Murdaya Poo
United States,Y,Y,N,Sports,1947,NA,0,The Hustler,Arturo Moreno
Turkey,N,N,N,Diversified,NA,NA,NA,The Ghost,Erol Sabanci
Singapore,Y,N,N,Food and Beverage,1969,Chairman,20,The Consistent,Sam Goi
Mexico,Y,Y,N,Construction and Engineering,1969,Founder,23,The Hustler,David Penaloza Sandoval
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost,John Calamos
Poland,Y,Y,N,Media,NA,Founder,NA,The Hustler,Jan Kulczyk
United States,Y,Y,N,Finance,1987,NA,35,The Consistent,Alec Gores
South Africa,Y,N,Y,Media,NA,NA,NA,The Consistent,Koos Bekker
China,Y,N,N,Real Estate,1994,Chairman,41,The Consistent,Zhang Li
Australia,Y,Y,Y,Finance,1999,NA,46,The Consistent,Michael Hintze
Singapore,Y,N,N,Investments,1991,NA,38,The Consistent,Peter Lim
Sweden,Y,N,N,Energy,1997,NA,44,The Consistent,Torbjorn Tornqvist
Switzerland,N,N,N,Health care,1896,NA,-59,The Consistent,Maja Oeri
United States,N,Y,N,Media,NA,NA,NA,The Ghost,William Randolph Hearst III
United States,Y,Y,Y,Finance,1992,NA,33,The Consistent,James Coulter
United States,Y,Y,Y,Investments,1972,Partner,12,The Consistent,Mark Stevens
South Korea,N,Y,N,Diversified,NA,Relation,NA,The Consistent,Lee Jay-Hyun
Kazakhstan,Y,N,N,Metals and Mining,1930,Investor,-31,The Consistent,Vladimir Kim
Greece,Y,Y,N,Metals and Mining,NA,NA,NA,The Consistent,Aristotelis Mistakidis
Russia,Y,Y,N,Energy,1992,NA,31,The Consistent,Igor Makarov
United States,Y,Y,N,Investments,NA,NA,NA,The Consistent,Edward Lampert
Spain,Y,Y,N,Metals and Mining,1974,NA,10,The Consistent,Daniel Mate
China,Y,N,N,Fashion and Retail,1994,NA,31,The Hustler,Ding Shijia
Turkey,N,Y,N,Finance,NA,NA,NA,The Consistent,Ferit Faik Sahenk
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost,Igor Zyuzin
China,Y,N,N,Health care,NA,NA,NA,The Consistent,Chen Bang
China,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Zhou Chengjian
United Kingdom,Y,N,Y,Finance,2003,Founder,37,The Consistent,Christopher Hohn
Kazakhstan,Y,Y,N,Finance,1923,NA,-44,The Hustler,Timur Kulibaev
Kazakhstan,N,N,N,Finance,1923,Founder,-45,The Hustler,Dinara Kulibaeva
Mexico,N,N,N,Media,1955,Relation,-13,The Consistent,Emilio Azcarraga Jean
Russia,Y,Y,N,Construction and Engineering,1992,NA,27,The Hustler,Ziyad Manasir
China,Y,N,Y,Fashion and Retail,NA,NA,NA,The Hustler,Ding Shizhong
United States,Y,Y,Y,Technology,NA,NA,NA,The Ghost,Omid Kordestani
Switzerland,N,N,N,Manufacturing,NA,NA,NA,The Consistent,Miriam Baumann-Blocher
Brazil,N,N,N,Finance,NA,NA,NA,The Hustler,Maria de Lourdes Egydio Villela
United States,N,N,N,Construction and Engineering,1898,Relation,NA,The Hustler,Matt & Dan Walsh
Peru,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Alberto Benavides
Argentina,N,N,N,Health care,1921,NA,-6,The Consistent,Alberto Roemmers
Taiwan,Y,N,N,Manufacturing,1949,NA,22,The Consistent,Tseng Shin-Yi
United States,N,N,N,Energy,NA,Relation,NA,The Consistent,W. Herbert Hunt
Taiwan,Y,N,N,Manufacturing,1949,Founder,21,The Consistent,Suhon Lin
Australia,Y,Y,N,Finance,1980,NA,50,The Consistent,David Hains
United States,Y,N,N,Retail,NA,Founder,NA,The Hustler,Malcolm Glazer
United States,N,N,N,Media,NA,NA,NA,The Ghost,Phoebe Hearst Cooke
United States,N,N,N,Media,NA,NA,NA,The Ghost,George Hearst Jr
United States,Y,N,N,Energy,NA,NA,NA,The Ghost,Leslie Lampton
Malaysia,Y,N,N,Diversified,1975,NA,40,The Consistent,Tiong Hiew King
Mexico,Y,N,N,Finance,1948,Founder,18,The Ghost,Roberto Gonzalez Barrera
United States,Y,N,N,Real Estate,1979,NA,41,The Consistent,David Walentas
