Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
United Kingdom,Y,N,N,Real Estate,1987,NA,NA,The Consistent,Ian & Richard Livingstone
Philippines,N,N,N,Diversified,NA,NA,NA,The Consistent,"John Gokongwei, Jr."
United States,N,Y,N,Finance,1947,NA,14,The Consistent,Charles Johnson
Nigeria,Y,N,Y,Diversified,NA,NA,NA,The Consistent,Mike Adenuga
United States,Y,Y,N,Finance,1985,NA,24,The Hustler,Daniel Gilbert
India,Y,N,N,Diversified,1988,Founder,25,The Consistent,Gautam Adani
Canada,Y,Y,N,Retail,1999,NA,36,The Consistent,Joseph Tsai
Mexico,N,Y,N,Food and Beverage,1925,Relation,-39,The Hustler,Maria Asuncion Aramburuzabala
Hong Kong,Y,Y,N,Investments,2001,NA,37,The Consistent,Gong Hongjia
Japan,Y,N,Y,Technology,NA,NA,NA,The Consistent,Hiroshi Mikitani
China,Y,N,N,Diversified,1969,NA,25,The Consistent,Lu Guanqiu
United States,N,Y,N,Energy,1968,Relation,6,The Consistent,Randa Williams
Australia,Y,Y,N,Metals and Mining,2003,NA,42,The Consistent,Andrew Forrest
United States,N,N,N,Energy,1968,NA,4,The Consistent,Dannine Avara
Germany,N,N,N,Health care,1881,NA,-84,The Consistent,Ludwig Merckle
United States,N,N,N,Energy,1968,Relation,-2,The Consistent,Milane Frantz
China,Y,N,Y,Real Estate,2005,Founder,33,The Consistent,Yan Zhi
United States,N,N,N,Energy,1968,Relation,-15,The Consistent,Scott Duncan
Mexico,N,Y,N,Food and Beverage,NA,NA,NA,The Consistent,Eva Gonda de Rivera
United States,Y,Y,N,Service,1959,Founder,34,The Consistent,Richard DeVos
Israel,Y,N,N,Manufacturing,1952,Founder,26,The Consistent,Stef Wertheimer
Canada,Y,N,N,Diversified,1961,NA,33,The Consistent,Jim Pattison
United States,N,Y,N,Food and Beverage,1865,Relation,-65,The Consistent,Whitney MacMillan
Australia,Y,N,N,Real Estate,1960,Founder,30,The Consistent,Frank Lowy
Canada,N,N,N,Food and Beverage,1954,NA,17,The Consistent,Emanuele (Lino) Saputo
United Kingdom,Y,N,N,Investments,1975,NA,39,The Consistent,Joe Lewis
China,Y,N,N,Real Estate,1988,Founder,48,The Consistent,Chan Laiwa
South Africa,Y,Y,N,Retail,NA,NA,NA,The Consistent,Christoffel Wiese
Spain,N,N,N,Construction and Engineering,1952,Relation,-2,The Ghost,Esther Koplowitz
Egypt,N,Y,N,Construction and Engineering,1950,NA,-11,The Consistent,Nassef Sawiris
United States,Y,Y,N,Software,2009,Founder,38,The Consistent,Brian Acton
