Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
David Rockefeller,"David Rockefeller, Sr.",218,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
David Ross,David Ross,,United Kingdom,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,
David Rubenstein,David Rubenstein,308,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
David Sainsbury,David Sainsbury,,United Kingdom,X,X,X,X,X,X,X,X,X,NA,NA,2007,9,1,0,0,
David Shaw,David Shaw,100,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
David Shou-Yeh Wong,David Shou-Yeh Wong,,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
David Siegel,David Siegel,122,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
David Sun,David Sun,105,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
David Teoh,David Teoh,,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
David Tepper,David Tepper,45,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
David Thomson & family,David Thomson,499,Canada,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
David Walentas,David Walentas,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
David William Grainger,David William Grainger,,United States,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,
David Yakobashvili,David Yakobashvili,,Russia,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,
Dean White,Dean White,,United States,X,X,X,X,X,X,X,X,X,X,NA,2007,10,1,0,0,
Demetrio Carceller Coll,Demetrio Carceller Coll,500,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Denis O'Brien,Denis O'Brien,501,Ireland,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Denise Coates,Denise Coates,502,United Kingdom,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Denise York,Denise York,325,United States,NA,NA,NA,NA,NA,X,X,X,NA,X,X,2012,5,1,1,1,
Deniz Sahenk,Deniz Sahenk,,Turkey,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,
Dennis Albaugh,Dennis Albaugh,,United States,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,
Dennis Washington,Dennis Washington,86,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Dermot Desmond,Dermot Desmond,503,Ireland,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Desh Bandhu Gupta,Desh Bandhu Gupta,504,India,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,
Desmond Lim Siew Choon,Desmond Lim Siew Choon,,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Desmond Sacco,Desmond Sacco,,South Africa,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,2013,2,1,0,0,
Devendra Jain,Devendra Jain,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Dhanin Chearavanont & family,Dhanin Chearavanont,505,Thailand,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Diane Hendricks,Diane Hendricks,166,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Diane Kemper,Diane Kemper,242,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Didier Primat,Didier Primat,,France,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Diego Della Valle,Diego Della Valle,,Italy,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Dieter Schaub,Dieter Schaub,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,
Dieter Schnabel,Dieter Schnabel,,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Dieter Schwarz,Dieter Schwarz,506,Germany,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Dieter von Holtzbrinck,Dieter von Holtzbrinck,,Germany,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,
Dietmar Hopp,Dietmar Hopp,507,Germany,X,X,NA,NA,NA,X,X,X,X,X,X,2007,8,1,1,3,
Dietrich Mateschitz,Dietrich Mateschitz,508,Austria,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Dilek Sabanci,Dilek Sabanci,,Turkey,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,
Dilip Shanghvi,Dilip Shanghvi,509,India,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Dinara Kulibaeva,Dinara Kulibaeva,510,Kazakhstan,X,X,NA,X,X,NA,X,X,X,X,X,2007,9,2,2,1,
Ding Shijia,Ding Shijia,511,China,NA,NA,NA,NA,X,NA,NA,X,X,X,X,2011,5,1,1,2,
Ding Shizhong & family,Ding Shizhong,512,China,NA,NA,NA,NA,X,NA,NA,X,X,X,X,2011,5,1,1,2,
Ding Yuhua,Ding Yuhua,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Dinu Patriciu,Dinu Patriciu,,Romania,NA,X,X,X,X,X,NA,NA,NA,NA,NA,2008,5,1,0,0,
Dirce Navarro De Camargo,Dirce Navarro De Camargo,,Brazil,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,
Dirk Rossmann,Dirk Rossmann,513,Germany,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Dirk Ziff,Dirk Ziff,124,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Djoko Susanto,Djoko Susanto,,Indonesia,NA,NA,NA,NA,NA,X,X,NA,X,X,X,2012,5,1,1,1,
Dmitry Ananyev,Dmitry Ananyev,,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,
Dmitry Kamenshchik,Dmitry Kamenshchik,514,Russia,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Dmitry Korzhev,Dmitry Korzhev,,Russia,NA,NA,NA,NA,X,NA,X,X,NA,NA,NA,2011,3,2,1,1,
Dmitry Mazepin,Dmitry Mazepin,,Russia,NA,NA,NA,NA,X,X,X,X,X,NA,NA,2011,5,1,0,0,
Dmitry Pumpyansky,Dmitry Pumpyansky,,Russia,X,X,NA,X,X,X,X,X,NA,X,X,2007,9,2,2,1,
Dmitry Rybolovlev,Dmitry Rybolovlev,515,Russia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Dmitry Troitsky,Dmitry Troitsky,,Russia,NA,NA,NA,NA,X,NA,X,X,NA,NA,NA,2011,3,2,1,1,
Dmitry Zelenov,Dmitry Zelenov,,Russia,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,
Do Won & Jin Sook Chang,Do Won & Jin Sook Chang,263,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Domenico Dolce,Domenico Dolce,,Italy,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Dominika & Sebastian Kulczyk,Dominika & Sebastian Kulczyk,516,Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Dominique Desseigne,Dominique Desseigne,,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Don Gao,Don Gao,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,2015,2,1,0,0,
Don Hankey,Don Hankey,299,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Don Simplot,Don Simplot,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,
Dona Bertarelli,Dona Bertarelli,517,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Donald Bren,Donald Bren,29,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Donald Friese,Donald Friese,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Donald Gordon,Donald Gordon,,South Africa,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Donald Hall,Donald Hall,,United States,X,X,NA,X,X,NA,X,X,X,NA,NA,2007,7,3,2,1,
Donald Marron,Donald Marron,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,
Donald Newhouse,Donald Newhouse,40,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Donald Schneider,Donald Schneider,,United States,X,X,X,X,X,NA,NA,NA,NA,NA,NA,2007,5,1,0,0,
Donald Sterling,Donald Sterling,205,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Donald Trump,Donald Trump,207,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Donald Tyson,Donald Tyson,,United States,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,
Dong Fan,Dong Fan,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Donna MacMillan,Donna MacMillan,,United States,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,2012,1,1,0,0,
Doris Fisher,Doris Fisher,285,United States,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,
Dorothea Steinbruch,Dorothea Steinbruch,,Brazil,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,
Dorrance Hamilton,Dorrance Hamilton,,United States,X,X,X,X,NA,NA,NA,NA,X,X,X,2007,7,1,1,4,
Dou Zhenggang,Dou Zhenggang,,China,NA,X,X,NA,NA,NA,NA,NA,NA,X,X,2008,4,1,1,6,
Douglas Fregin,Douglas Fregin,,Canada,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,2008,2,2,1,1,
Douglas Hsu,Douglas Hsu,,Taiwan,X,X,NA,NA,X,X,X,X,X,NA,NA,2007,7,2,1,2,
Douglas Leone,Douglas Leone,256,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Drayton McLane,Drayton McLane,,United States,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,
Drew Houston,Drew Houston,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Du Jiangtao & family,Du Jiangtao,518,China,NA,NA,NA,NA,X,NA,NA,X,X,X,X,2011,5,1,1,2,
Du Shuanghua,Du Shuanghua,,China,NA,NA,X,X,NA,NA,NA,NA,NA,NA,NA,2009,2,1,0,0,
Dulce Pugliese de Godoy Bueno,Dulce Pugliese de Godoy Bueno,,Brazil,NA,NA,NA,NA,X,X,X,X,X,NA,X,2011,6,1,1,1,
Dustin Moskovitz,Dustin Moskovitz,46,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Dwight Opperman,Dwight Opperman,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
E. Joe Shoen,E. Joe Shoen,311,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
E. Stanley Kroenke,E. Stanley Kroenke,,United States,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,2010,1,1,0,0,
Eddie & Sol Zakay,Eddie & Sol Zakay,,United Kingdom,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Eddy Kusnadi Sariaatmadja,Eddy Kusnadi Sariaatmadja,,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Edgar Bronfman Sr,Edgar Bronfman Sr,,United States,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,
Edgar de Picciotto,Edgar de Picciotto,,Switzerland,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,
Edgar Sia,Edgar Sia,,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Edir Macedo,Edir Macedo,,Brazil,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,2013,3,1,0,0,
Edmund Ansin,Edmund Ansin,,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Edson de Godoy Bueno,Edson de Godoy Bueno,,Brazil,NA,NA,NA,NA,X,X,X,X,X,X,NA,2011,6,1,0,0,
Eduard Shifrin,Eduard Shifrin,,United Kingdom,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,
Eduardo Belmont Anderson,Eduardo Belmont Anderson,,Peru,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Eduardo Carmignac,Eduardo Carmignac,,France,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Eduardo Cojuangco,Eduardo Cojuangco,,Philippines,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,X,2012,2,1,1,4,
Eduardo Costantini,Eduardo Costantini,,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Eduardo Eurnekian,Eduardo Eurnekian,519,Argentina,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Eduardo Hochschild,Eduardo Hochschild,,Peru,NA,NA,NA,NA,NA,X,X,X,NA,NA,X,2012,4,1,1,2,
Eduardo Saverin,Eduardo Saverin,520,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Edward Bass,Edward Bass,236,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Edward DeBartolo,"Edward DeBartolo, Jr.",252,United States,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,
Edward Johnson,"Edward Johnson, III.",65,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Edward Lampert,Edward Lampert,353,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Edward Linde,Edward Linde,,United States,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,
Edward Rogers,Edward Rogers,,Canada,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Edward Roski,"Edward Roski, Jr.",118,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Edward Stack,Edward Stack,,United States,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,2013,4,1,1,1,
Edward Watkins Jr,Edward Watkins Jr,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,
Edwin Leong,Edwin Leong,521,Hong Kong,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Edwin Soeryadjaya,Edwin Soeryadjaya,,Indonesia,NA,NA,NA,NA,X,X,X,X,X,NA,NA,2011,5,1,0,0,
Eggon da Silva,Eggon da Silva,,Brazil,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,
Eike Batista,Eike Batista,,Brazil,NA,X,X,X,X,X,X,NA,NA,NA,NA,2008,6,1,0,0,
Eitaro Itoyama,Eitaro Itoyama,,Japan,X,X,X,X,X,X,NA,NA,NA,NA,NA,2007,6,1,0,0,
Elaine Marshall,Elaine Marshall,,United States,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,2013,2,1,0,0,
Elaine Wynn,Elaine Wynn,,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Elena Baturina,Elena Baturina,,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,
Eli Broad,Eli Broad,66,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Elie Horn,Elie Horn,,Brazil,X,X,NA,X,X,X,X,X,NA,NA,NA,2007,7,2,1,1,
Eliezer Steinbruch,Eliezer Steinbruch,,Brazil,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Eliodoro Matte & family,Eliodoro Matte,522,Chile,X,X,X,NA,NA,NA,X,X,X,X,X,2007,8,1,1,3,
"Eliodoro, Bernardo & Patricia Matte","Eliodoro, Bernardo & Patricia Matte",,Chile,NA,NA,NA,X,X,X,NA,NA,NA,NA,NA,2010,3,1,0,0,
Elisabeth Badinter,Elisabeth Badinter,,France,NA,NA,NA,NA,NA,X,X,X,X,NA,NA,2012,4,1,0,0,
Elisabeth Mohn,Elisabeth Mohn,523,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Eliseo Alexandre Soares dos Santos,Eliseo Alexandre Soares dos Santos,,Portugal,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,
Elizabeth Ann Hall Reid,Elizabeth Ann Hall Reid,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,
Elizabeth Holmes,Elizabeth Holmes,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,2015,2,1,0,0,
Elizabeth Mohn,Elizabeth Mohn,,Germany,NA,NA,NA,X,X,X,X,X,X,NA,NA,2010,6,1,0,0,
Elon Musk,Elon Musk,31,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Els Blokker,Els Blokker,,Netherlands,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,
Emanuele (Lino) Saputo,Emanuele (Lino) Saputo,524,Canada,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Emanuella Barilla,Emanuella Barilla,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Emilio Azcarraga Jean,Emilio Azcarraga Jean,525,Mexico,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Emilio Botin,Emilio Botin,,Spain,X,X,X,X,X,X,NA,NA,NA,NA,NA,2007,6,1,0,0,
Emmanuel Besnier,Emmanuel Besnier,526,France,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Ennio Doris & family,Ennio Doris,527,Italy,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Enrique Banuelos,Enrique Banuelos,,Spain,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,
Enrique Razon,Enrique Razon,,Philippines,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,2011,1,1,0,0,
Enrique Razon Jr,"Enrique Razon, Jr.",528,Philippines,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Eric Douglas,Eric Douglas,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Eric Lefkofsky,Eric Lefkofsky,,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Eric Schmidt,Eric Schmidt,44,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Eric Smidt,Eric Smidt,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Eric Sprott,Eric Sprott,,Canada,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,2012,1,1,0,0,
Eric Ya Shen,Eric Ya Shen,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Erich Kellerhals,Erich Kellerhals,,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Erik Paulsson,Erik Paulsson,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Erik Selin,Erik Selin,529,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Erika Pohl-Stroher,Erika Pohl-Stroher,,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,
Erivan Haub & family,Erivan Haub,530,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Erman Ilicak,Erman Ilicak,531,Turkey,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,
Ermirio Pereira de Moraes,Ermirio Pereira de Moraes,532,Brazil,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Ernest Gallo,Ernest Gallo,,United States,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,
Ernest Rady,Ernest Rady,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Ernest Stempel,Ernest Stempel,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Ernesto Bertarelli,Ernesto Bertarelli,533,Switzerland,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Erol Sabanci,Erol Sabanci,,Turkey,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,
Erwin Franz Mueller,Erwin Franz Mueller,534,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Esther Grether,Esther Grether,,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Esther Grether,Esther Grether,,Switzerland,NA,NA,NA,X,X,X,X,X,NA,NA,NA,2010,5,1,0,0,
Esther Koplowitz,Esther Koplowitz,,Spain,X,X,X,X,X,X,X,NA,NA,NA,NA,2007,7,1,0,0,
Eugen Viehof,Eugen Viehof,,Germany,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,
Eugene Kaspersky,Eugene Kaspersky,,Russia,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Eva Gonda Rivera and family,Eva Gonda de Rivera,535,Mexico,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Eva Maria Braun-Luedicke,Eva Maria Braun-Luedicke,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Eva Maria Bucher-Haefner,Eva Maria Bucher-Haefner,536,Switzerland,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Evan Sharp,Evan Sharp,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Evan Spiegel,Evan Spiegel,162,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Evan Williams,Evan Williams,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Evgeny (Eugene) Shvidler,Evgeny (Eugene) Shvidler,,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Eyal Ofer,Eyal Ofer,537,Israel,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Ezra Nahmad,Ezra Nahmad,,Monaco,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Fahd Hariri,Fahd Hariri,,Lebanon,X,X,X,X,X,X,X,X,X,X,NA,2007,10,1,0,0,
Faisal Bin Qassim Al Thani,Faisal Bin Qassim Al Thani,538,Qatar,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Fan Zhaoxia,Fan Zhaoxia,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,
Fan Zhaoxia,Fan Zhaoxia,,China,NA,NA,NA,NA,NA,X,NA,NA,X,X,X,2012,4,1,1,2,
Fang Tonghua,Fang Tonghua,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Fang Wei,Fang Wei,539,China,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,
Farhad Moshiri,Farhad Moshiri,540,United Kingdom,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Farkhad Akhmedov,Farkhad Akhmedov,,Russia,X,X,NA,NA,NA,NA,X,X,X,X,X,2007,7,1,1,4,
Farris Wilks,Farris Wilks,,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Faruk Eczacibasi,Faruk Eczacibasi,,Turkey,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,
Faruk Yalcin,Faruk Yalcin,,Turkey,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Fatma Yazici,Fatma Yazici,,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Fawaz Alhokair,Fawaz Alhokair,,Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,2015,2,1,1,1,
Fawzi Al-Kharafi,Fawzi Al-Kharafi,,Kuwait,NA,NA,NA,NA,NA,X,X,X,X,NA,X,2012,5,1,1,1,
Fayez Sarofim,Fayez Sarofim,,United States,X,X,NA,NA,NA,NA,X,X,X,X,X,2007,7,1,1,4,
Femi Otedola,Femi Otedola,,Nigeria,NA,NA,X,NA,NA,NA,NA,NA,X,X,NA,2009,3,2,1,5,
Feng Hailiang,Feng Hailiang,541,China,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Ferit Faik Sahenk,Ferit Faik Sahenk,542,Turkey,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Fernando Roberto Moreira Salles,Fernando Roberto Moreira Salles,543,Brazil,NA,NA,NA,NA,X,X,NA,X,X,X,X,2011,6,1,1,1,
Fernando Roig,Fernando Roig,,Spain,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Filaret Galchev,Filaret Galchev,,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,
Filiz Sahenk,Filiz Sahenk,,Turkey,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Finn Rausing,Finn Rausing,544,Sweden,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Fiona Geminder,Fiona Geminder,545,Australia,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Florentino Perez,Florentino Perez,,Spain,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Folorunsho Alakija,Folorunsho Alakija,,Nigeria,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Fong Yun Wah,Fong Yun Wah,546,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Forrest Mars,Forrest Mars,,United States,X,X,X,X,X,X,X,X,X,X,NA,2007,10,1,0,0,
Forrest Preston,Forrest Preston,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Francesco Gaetano Caltagirone,Francesco Gaetano Caltagirone,,Italy,X,X,X,X,X,NA,NA,X,X,X,X,2007,9,1,1,2,
Francesco Saverio Salini,Francesco Saverio Salini,,Italy,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,
Francis Choi,Francis Choi,547,Hong Kong,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,
