Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Lu Di,Lu Di,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Lu Feng,Lu Feng,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,
Lu Guanqiu,Lu Guanqiu,740,China,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Lu Jonathan,Lu Jonathan,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Lu Xiangyang,Lu Xiangyang,741,China,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,
Lu Yonghua,Lu Yonghua,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,2015,2,1,0,0,
Lu Zhiqiang,Lu Zhiqiang,742,China,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Luca Barilla,Luca Barilla,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Luca Garavoglia,Luca Garavoglia,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Lucia Maggi,Lucia Maggi,,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,
Luciano Benetton,Luciano Benetton,743,Italy,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Lucio and Susan Co,Lucio and Susan Co,,Philippines,NA,NA,NA,NA,NA,NA,X,NA,X,X,NA,2013,3,2,1,1,
Lucio Tan & family,Lucio Tan,744,Philippines,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Lucy Peng,Lucy Peng,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Lucy Stitzer,Lucy Stitzer,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Ludwig Merckle,Ludwig Merckle,745,Germany,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Ludwig Theodor Braun,Ludwig Theodor Braun,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Lui Che Woo,Lui Che Woo,746,Hong Kong,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,
Luigi Cremonini,Luigi Cremonini,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Luigi Rovati,Luigi Rovati,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Luis Carlos Sarmiento,Luis Carlos Sarmiento,747,Colombia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Luis del Rivero,Luis del Rivero,,Spain,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Luis Enrique Yarur Rey,Luis Enrique Yarur Rey,,Chile,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Luis Portillo,Luis Portillo,,Spain,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Lukas Walton,Lukas Walton,43,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Luo Fei,Luo Fei,,China,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,
Luo Jye & family,Luo Jye,748,Taiwan,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,
Lutz Mario Helmig,Lutz Mario Helmig,,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Lv Dalong,Lv Dalong,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,
Lv Yongxiang,Lv Yongxiang,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,
Lynn Schusterman,Lynn Schusterman,233,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Lynne Pasculano,Lynne Pasculano,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,
M.A. Yusuff Ali,M.A. Yusuff Ali,749,India,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Ma Hong,Ma Hong,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Ma Huateng,Ma Huateng,750,China,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Ma Jianrong & family,Ma Jianrong,751,China,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
