Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Luigi Cremonini,Luigi Cremonini,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Luigi Rovati,Luigi Rovati,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Luis Carlos Sarmiento,Luis Carlos Sarmiento,747,Colombia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Luis del Rivero,Luis del Rivero,,Spain,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Luis Enrique Yarur Rey,Luis Enrique Yarur Rey,,Chile,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Money Management
Luis Portillo,Luis Portillo,,Spain,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Lukas Walton,Lukas Walton,43,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Luo Fei,Luo Fei,,China,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,Consumer
Luo Jye & family,Luo Jye,748,Taiwan,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Consumer
Lutz Mario Helmig,Lutz Mario Helmig,,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Technology-Medical
Lv Dalong,Lv Dalong,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,#N/A
Lv Yongxiang,Lv Yongxiang,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,#N/A
Lynn Schusterman,Lynn Schusterman,233,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Energy
Lynne Pasculano,Lynne Pasculano,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
M.A. Yusuff Ali,M.A. Yusuff Ali,749,India,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,"Retail, Restaurant"
Ma Hong,Ma Hong,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Ma Huateng,Ma Huateng,750,China,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Technology-Computer
Ma Jianrong & family,Ma Jianrong,751,China,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Consumer
Ma Xingtian,Ma Xingtian,,China,NA,NA,NA,NA,X,X,NA,X,X,X,X,2011,6,1,1,1,Technology-Medical
Ma Xiuhui,Ma Xiuhui,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Ma Yunsheng,Ma Yunsheng,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Maan Al-Sanea,Maan Al-Sanea,,Saudi Arabia,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,#N/A
Madeleine Olsson Ericksson,Madeleine Olsson Ericksson,,Sweden,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Diversified financial
Madeleine Schickedanz,Madeleine Schickedanz,,Germany,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,"Retail, Restaurant"
Maersk Mc-Kinney Moller,Maersk Mc-Kinney Moller,,Denmark,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,#N/A
Magdalena Martullo-Blocher,Magdalena Martullo-Blocher,752,Switzerland,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Non-consumer industrial
Maggie Magerko,Maggie Magerko,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Mahdi Al-Tajir,Mahdi Al-Tajir,,United Arab Emirates,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Mahendra Prasad,Mahendra Prasad,,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Maja Oeri,Maja Oeri,753,Switzerland,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Technology-Medical
Majid Al Futtaim,Majid Al Futtaim,754,United Arab Emirates,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
Malcolm Glazer,Malcolm Glazer,,United States,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,Consumer
Malone Mitchell,Malone Mitchell,,United States,NA,NA,NA,X,X,NA,NA,NA,NA,NA,NA,2010,2,1,0,0,#N/A
Malvinder & Shivinder Singh,Malvinder & Shivinder Singh,,India,X,X,X,X,X,X,X,X,X,NA,NA,2007,9,1,0,0,#N/A
Mangal Prabhat Lodha,Mangal Prabhat Lodha,755,India,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Real Estate
Manny Mashouf,Manny Mashouf,,United States,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,#N/A
Manny Stul,Manny Stul,,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Manoj Bhargava,Manoj Bhargava,,United States,NA,NA,NA,NA,NA,X,X,NA,NA,NA,NA,2012,2,1,0,0,#N/A
Mansour bin Zayed Al Nahayan,Mansour bin Zayed Al Nahayan,,United Arab Emirates,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,2009,1,1,0,0,#N/A
Manuel Jove,Manuel Jove,,Spain,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
Manuel Lao Hernandez,Manuel Lao Hernandez,756,Spain,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,"Retail, Restaurant"
Manuel Manrique,Manuel Manrique,,Spain,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,#N/A
Manuel Moroun,Manuel Moroun,,United States,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,Other
Manuel Villar,Manuel Villar,,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,Real Estate
Mao Zhongwu,Mao Zhongwu,,China,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,#N/A
Marc Andreessen,Marc Andreessen,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Marc Benioff,Marc Benioff,153,United States,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Technology-Computer
Marc Ladreit de Lacharriere,Marc Ladreit de Lacharriere,757,France,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Money Management
Marc Lasry,Marc Lasry,,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Hedge funds
Marc Nathanson,Marc Nathanson,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Marc Rich,Marc Rich,,United States,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,Hedge funds
Marc Rowan,Marc Rowan,280,United States,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Private equity/leveraged buyout
Marc Samwer,Marc Samwer,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,#N/A
Marcel Adams,Marcel Adams,,Canada,NA,NA,NA,NA,NA,NA,X,X,NA,NA,X,2013,3,1,1,2,Real Estate
Marcel Erni,Marcel Erni,,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Marcel Herrmann Telles,Marcel Herrmann Telles,758,Brazil,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Marcos Antonio Molina dos Santos,Marcos Antonio Molina dos Santos,,Brazil,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,#N/A
Marcos Galperin,Marcos Galperin,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Margaret Magerko,Margaret Magerko,,United States,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,#N/A
Margaretta Taylor,Margaretta Taylor,59,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Margarita Louis-Dreyfus,Margarita Louis-Dreyfus,759,Switzerland,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Mining and metals
Marguerite Harbert,Marguerite Harbert,,United States,X,X,X,X,X,NA,NA,NA,NA,NA,NA,2007,5,1,0,0,Other
Maria-Elisabeth & Georg Schaeffler,Maria-Elisabeth Schaeffler,760,Germany,X,X,X,NA,X,X,X,X,X,X,X,2007,10,1,1,1,Non-consumer industrial
Maria Asuncion Aramburuzabala,Maria Asuncion Aramburuzabala,761,Mexico,X,NA,NA,NA,NA,NA,X,X,X,X,X,2007,6,1,1,5,Consumer
Maria de Lourdes Egydio Villela,Maria de Lourdes Egydio Villela,,Brazil,NA,NA,NA,NA,X,X,NA,NA,X,NA,NA,2011,3,2,1,2,#N/A
Maria Del Pino y Calvo-Sotelo,Maria Del Pino y Calvo-Sotelo,,Spain,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Constrution
Maria Franca Fissolo,Maria Franca Fissolo,762,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Maria Helena Moraes Scripilliti,Maria Helena Moraes Scripilliti,763,Brazil,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Diversified financial
Maria Ines de Lafuente Lacroze,Maria Ines de Lafuente Lacroze,,Argentina,NA,NA,NA,NA,NA,X,X,X,X,NA,NA,2012,4,1,0,0,Constrution
Maria Luisa Solari Falabella,Maria Luisa Solari Falabella,,Chile,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,2013,3,1,0,0,"Retail, Restaurant"
Maria Noseda Zambra,Maria Noseda Zambra,,Chile,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Marian Ilitch,Marian Ilitch,84,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,"Retail, Restaurant"
Marianne Liebmann,Marianne Liebmann,167,United States,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,Money Management
Marie-Jeanne Meyer,Marie-Jeanne Meyer,,France,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,2013,3,1,0,0,Mining and metals
Marie Besnier Beauvalot,Marie Besnier Beauvalot,764,France,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Consumer
Marilyn Carlson Nelson,Marilyn Carlson Nelson,,United States,X,X,X,X,X,X,X,X,X,NA,NA,2007,9,1,0,0,Real Estate
Marina Prada,Marina Prada,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Mario Brescia Cafferata,Mario Brescia Cafferata,,Peru,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,#N/A
Mario Gabelli,Mario Gabelli,,United States,NA,X,NA,X,NA,NA,X,X,X,X,X,2008,7,2,2,2,Money Management
Mario Lopez Estrada,Mario Lopez Estrada,,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,#N/A
Mario Moretti Polegato,Mario Moretti Polegato,,Italy,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Marion MacMillan Pictet,Marion MacMillan Pictet,,United States,X,X,X,X,X,NA,NA,NA,NA,NA,NA,2007,5,1,0,0,#N/A
Maritsa Lazari,Maritsa Lazari,765,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Marius Nacht,Marius Nacht,766,Israel,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Technology-Computer
Mark Coombs,Mark Coombs,,United Kingdom,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Money Management
Mark Cuban,Mark Cuban,208,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
Mark Dixon,Mark Dixon,,United Kingdom,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,"Retail, Restaurant"
Mark Pincus,Mark Pincus,,United States,NA,NA,NA,NA,X,X,NA,X,NA,X,X,2011,5,2,2,1,Technology-Computer
Mark Scheinberg,Mark Scheinberg,767,Canada,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Mark Shoen,Mark Shoen,258,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,"Retail, Restaurant"
Mark Stevens,Mark Stevens,356,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Venture Capital
Mark Vadon,Mark Vadon,,United States,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,Technology-Computer
Mark Walter,Mark Walter,316,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Mark Zuckerberg,Mark Zuckerberg,5,United States,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Technology-Computer
Markus Blocher,Markus Blocher,,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Markus Persson,Markus Persson,,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Marli Pissollo,Marli Pissollo,,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,#N/A
Martha Ford,Martha Ford,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Martha Ingram & family,Martha Ingram,145,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Martha MacMillan Bennett,Martha MacMillan Bennett,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Martin & Olivier Bouygues,Martin & Olivier Bouygues,768,France,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Constrution
Martin Ebner,Martin Ebner,769,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,Money Management
Martin Haefner,Martin Haefner,770,Switzerland,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Technology-Computer
Martin Lau,Martin Lau,,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Martin Moller Nielsen,Martin Moller Nielsen,,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,#N/A
Martin Moller Nielsen,Martin Moller Nielsen,,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Martin Naughton,Martin Naughton,,Ireland,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Non-consumer industrial
Martin Selig,Martin Selig,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Martin Viessmann,Martin Viessmann,771,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Non-consumer industrial
Martisa Lazari,Martisa Lazari,,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,#N/A
Martua Sitorus,Martua Sitorus,,Indonesia,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Mining and metals
Marvin Herb,Marvin Herb,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
"Marvin L ""Buzz"" Oates","Marvin L ""Buzz"" Oates",,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Mary & Douglas Perkins,Mary & Douglas Perkins,,United Kingdom,NA,NA,NA,NA,NA,NA,NA,X,X,NA,NA,2014,2,1,0,0,#N/A
Mary Alice Dorrance Malone,Mary Alice Dorrance Malone,168,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Mary Anselmo,Mary Anselmo,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,Media
Mary Janet Cargill,Mary Janet Cargill,,United States,NA,NA,X,X,NA,NA,NA,NA,NA,NA,NA,2009,2,1,0,0,#N/A
Mary West,Mary West,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Masahiro Miki,Masahiro Miki,772,Japan,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,"Retail, Restaurant"
Masahiro Noda,Masahiro Noda,,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Masateru Uno,Masateru Uno,,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Masatoshi Ito,Masatoshi Ito,773,Japan,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Masayoshi Son,Masayoshi Son,774,Japan,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
Masayuki Ishihara,Masayuki Ishihara,,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Massimiliana Landini Aleotti,Massimiliana Landini Aleotti,775,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Massimo Moratti,Massimo Moratti,,Italy,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Energy
Mathias Kamprad,Mathias Kamprad,,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Matt & Dan Walsh,Matt & Dan Walsh,,United States,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,Constrution
Matthew Bucksbaum,Matthew Bucksbaum,,United States,X,X,NA,NA,X,NA,NA,NA,NA,NA,NA,2007,3,2,1,2,#N/A
Matthias Reimann-Andersen,Matthias Reimann-Andersen,776,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Consumer
Matthias Reinhart,Matthias Reinhart,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Maurice Alter,Maurice Alter,,Australia,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Maurice Greenberg,Maurice Greenberg,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,Money Management
Maurizio Billi,Maurizio Billi,,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,2015,2,1,1,1,#N/A
Max Michel Suberville,Max Michel Suberville,,Mexico,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,2013,3,1,0,0,Consumer
Max Turnauer,Max Turnauer,,Austria,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,2013,2,1,0,0,Non-consumer industrial
Maxim Blazhko,Maxim Blazhko,,Russia,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Maxim Nogotkov,Maxim Nogotkov,,Russia,NA,NA,NA,NA,NA,X,X,NA,NA,NA,NA,2012,2,1,0,0,#N/A
Maximilian Stoschek,Maximilian Stoschek,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Meg Whitman,Meg Whitman,334,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Computer
Megdet Rahimkulov,Megdet Rahimkulov,,Russia,NA,X,NA,X,X,X,X,X,NA,X,X,2008,8,2,2,1,Diversified financial
Mehmet Aydinlar,Mehmet Aydinlar,,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Mehmet Emin Karamehmet,Mehmet Emin Karamehmet,,Turkey,NA,X,X,X,X,X,X,X,X,NA,NA,2008,8,1,0,0,#N/A
Mehmet Hattat,Mehmet Hattat,,Turkey,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,#N/A
Mehmet Karamehmet,Mehmet Karamehmet,,Turkey,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,Media
Mehmet Nazif Gunal,Mehmet Nazif Gunal,,Turkey,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Constrution
Mehmet Omer Koc,Mehmet Omer Koc,,Turkey,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,2011,2,2,1,1,#N/A
Mehmet Rustu Basaran,Mehmet Rustu Basaran,,Turkey,NA,NA,NA,X,X,X,X,NA,X,X,X,2010,7,1,1,1,#N/A
Mehmet Sepil,Mehmet Sepil,,Turkey,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,2011,1,1,0,0,#N/A
Mehmet Sinan Tara,Mehmet Sinan Tara,,Turkey,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Constrution
Meisong Lai,Meisong Lai,777,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Melker Schorling,Melker Schorling,778,Sweden,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Diversified financial
Melvin Simon,Melvin Simon,,United States,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,#N/A
Meng Qingshan,Meng Qingshan,,China,NA,NA,NA,NA,X,X,NA,NA,NA,NA,NA,2011,2,1,0,0,#N/A
Mi Enhua,Mi Enhua,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Mian Muhammad Mansha,Mian Muhammad Mansha,,Pakistan,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,2010,1,1,0,0,#N/A
Miao Liansheng,Miao Liansheng,,China,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Miao Shouliang,Miao Shouliang,,China,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Real Estate
Michael & Marian Ilitch,Michael & Marian Ilitch,,United States,NA,NA,NA,NA,NA,X,X,X,X,X,NA,2012,5,1,0,0,#N/A
Michael & Rainer Schmidt-Ruthenbeck,Michael & Reiner Schmidt-Ruthenbeck,779,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,#N/A
Michael Ashcroft,Michael Ashcroft,,United Kingdom,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Other
Michael Ashley,Michael Ashley,780,United Kingdom,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Michael Bloomberg,Michael Bloomberg,9,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
Michael Chiang,Michael Chiang,,Taiwan,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,#N/A
Michael Dell,Michael Dell,21,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Computer
Michael Eisner,Michael Eisner,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Michael Federmann,Michael Federmann,,Israel,NA,NA,X,X,X,NA,NA,NA,NA,NA,NA,2009,3,1,0,0,#N/A
Michael Hartono,Michael Hartono,781,Indonesia,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Consumer
Michael Heisley,Michael Heisley,,United States,X,X,X,X,X,X,NA,NA,NA,NA,NA,2007,6,1,0,0,#N/A
Michael Herz,Michael Herz,782,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Michael Hintze,Michael Hintze,783,Australia,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Diversified financial
Michael Ilitch,Michael Ilitch,,United States,X,X,X,X,X,NA,NA,NA,NA,NA,NA,2007,5,1,0,0,"Retail, Restaurant"
Michael Jaharis,Michael Jaharis,,United States,X,X,X,X,X,X,X,X,X,NA,NA,2007,9,1,0,0,Technology-Medical
Michael Jordan,Michael Jordan,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Michael Kadoorie & family,Michael Kadoorie,784,Hong Kong,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Michael Klein,Michael Klein,,Brazil,NA,NA,NA,NA,NA,NA,NA,X,X,NA,NA,2014,2,1,0,0,"Retail, Restaurant"
Michael Kors,Michael Kors,,United States,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,"Retail, Restaurant"
Michael Krasny,Michael Krasny,,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Computer
Michael Lee-Chin,Michael Lee-Chin,,Canada,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,Hedge funds
Michael Lynch,Michael Lynch,,United Kingdom,NA,NA,NA,NA,NA,NA,NA,X,X,NA,NA,2014,2,1,0,0,Technology-Computer
Michael Milken,Michael Milken,196,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Diversified financial
Michael Moritz,Michael Moritz,224,United States,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Venture Capital
Michael Novogratz,Michael Novogratz,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Michael Otto & family,Michael Otto,785,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Michael Pieper,Michael Pieper,786,Switzerland,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Consumer
Michael Platt,Michael Platt,787,United Kingdom,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Hedge funds
Michael Price,Michael Price,,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Diversified financial
Michael Rubin,Michael Rubin,332,United States,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,"Retail, Restaurant"
Michael Spencer,Michael Spencer,,United Kingdom,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Michael Steinhardt,Michael Steinhardt,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Money Management
Michael Stoschek,Michael Stoschek,,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,Consumer
Michael Strauss,Michael Strauss,,Israel,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,2011,1,1,0,0,#N/A
Michael Ying,Michael Ying,788,Hong Kong,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Michal Solowow,Michal Solowow,789,Poland,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Diversified financial
