Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Alexey Mordashov,Alexey Mordashov,391,Russia,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,#N/A
Alfred Gantner,Alfred Gantner,,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Alfred James Clark,Alfred James Clark,,United States,NA,NA,X,X,X,X,X,X,X,NA,NA,2009,7,1,0,0,Constrution
Alfred Mann,Alfred Mann,,United States,X,X,X,X,X,NA,NA,X,X,NA,NA,2007,7,2,1,2,Technology-Medical
Alfred Oetker,Alfred Oetker,,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Consumer
Alfred Taubman,Alfred Taubman,,United States,X,X,X,NA,X,X,X,X,X,NA,NA,2007,8,2,1,1,Real Estate
Alfred West Jr,Alfred West Jr,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Alfredo Egydio Arruda Villela Filho,Alfredo Egydio Arruda Villela Filho,,Brazil,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Money Management
Alfredo Harp Helu,Alfredo Harp Helu,,Mexico,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Ali Ibrahim Agaoglu,Ali Ibrahim Agaoglu,,Turkey,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Constrution
Ali Metin Kazanci,Ali Metin Kazanci,,Turkey,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,#N/A
Alice Walton,Alice Walton,14,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Alicia Koplowitz,Alicia Koplowitz,392,Spain,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Constrution
Alijan Ibragimov,Alijan Ibragimov,,Kazakhstan,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Mining and metals
Aliko Dangote,Aliko Dangote,393,Nigeria,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Constrution
Alisher Usmanov,Alisher Usmanov,394,Russia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Non-consumer industrial
Allan Goldman,Allan Goldman,238,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Allan Gray,Allan Gray,,South Africa,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Other
Allan Slaight,Allan Slaight,,Canada,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,2013,2,1,0,0,Media
Allan Wong,Allan Wong,,Hong Kong,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Technology-Computer
Aloke Lohia,Aloke Lohia,,India,NA,NA,NA,NA,X,X,X,X,X,NA,X,2011,6,1,1,1,Non-consumer industrial
Aloys Wobben,Aloys Wobben,395,Germany,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,Energy
Aloysio de Andrade Faria,Aloysio de Andrade Faria,396,Brazil,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Alvaro Saieh Bendeck,Alvaro Saieh Bendeck,397,Chile,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Money Management
Amancio Ortega,Amancio Ortega,398,Spain,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Amar Bose,Amar Bose,,United States,X,X,NA,NA,X,NA,NA,NA,NA,NA,NA,2007,3,2,1,2,#N/A
Americo Amorim,Americo Amorim,399,Portugal,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Energy
Amit Burman,Amit Burman,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,#N/A
Amos Hostetter Jr,"Amos Hostetter, Jr.",222,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
Amy Goldman Fowler,Amy Goldman Fowler,240,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Amy Wyss,Amy Wyss,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
An Kang,An Kang,,China,NA,NA,NA,X,X,NA,NA,X,X,X,X,2010,6,1,1,2,Technology-Medical
Ana Lucia de Mattos Barretto Villela,Ana Lucia de Mattos Barretto Villela,,Brazil,NA,NA,NA,NA,X,X,X,X,X,NA,X,2011,6,1,1,1,Money Management
Ana Maria Brescia Cafferata,Ana Maria Brescia Cafferata,,Peru,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Mining and metals
Ana Maria Marcondes Penido Sant'Anna,Ana Maria Marcondes Penido Sant'Anna,,Brazil,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,2013,4,1,1,1,Other
Anacleto Angelini,Anacleto Angelini,,Chile,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,Energy
Analjit Singh,Analjit Singh,,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Anand Burman,Anand Burman,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Anand Jain,Anand Jain,,India,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,2008,2,2,1,1,#N/A
Anand Mahindra,Anand Mahindra,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Ananda Krishnan,Ananda Krishnan,400,Malaysia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
Anas Sefrioui,Anas Sefrioui,,Morocco,NA,NA,NA,NA,NA,X,X,X,NA,NA,X,2012,4,1,1,2,Real Estate
Anatoly Lomakin,Anatoly Lomakin,,Russia,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Consumer
Anatoly Sedykh,Anatoly Sedykh,,Russia,X,X,NA,X,X,X,X,X,NA,NA,NA,2007,7,2,1,1,Non-consumer industrial
Anatoly Skurov,Anatoly Skurov,,Russia,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,#N/A
Anders Holch Povlsen,Anders Holch Povlsen,401,Denmark,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,"Retail, Restaurant"
Andre Esteves,Andre Esteves,,Brazil,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Money Management
Andrea Della Valle,Andrea Della Valle,,Italy,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Consumer
Andrea Reimann-Ciardelli,Andrea Reimann-Ciardelli,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Consumer
Andreas Halvorsen,Andreas Halvorsen,402,Norway,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Hedge funds
Andreas Pohl,Andreas Pohl,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,#N/A
Andreas Strungmann,Andreas Struengmann,403,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Medical
Andreas von Bechtolsheim,Andreas von Bechtolsheim,404,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Computer
Andrei Bokarev,Andrei Bokarev,,Czech Republic,NA,NA,NA,NA,NA,NA,X,X,NA,NA,X,2013,3,1,1,2,Energy
Andrei Bokarev,Andrei Bokarev,,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,Energy
Andrei Filatov,Andrei Filatov,,Russia,NA,NA,NA,NA,X,X,X,X,NA,NA,NA,2011,4,1,0,0,Real Estate
Andrei Guriev,Andrei Guriev,405,Russia,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Consumer
Andrei Klyamko,Andrei Klyamko,,Russia,NA,NA,NA,NA,X,X,X,X,NA,NA,NA,2011,4,1,0,0,Non-consumer industrial
Andrei Komarov,Andrei Komarov,,Russia,NA,X,NA,NA,X,NA,NA,NA,NA,NA,NA,2008,2,2,1,2,#N/A
Andrei Kosogov,Andrei Kosogov,,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Energy
Andrei Kozitsyn,Andrei Kozitsyn,406,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Mining and metals
Andrei Kuzyaev,Andrei Kuzyaev,,Russia,NA,NA,NA,NA,X,NA,NA,X,NA,NA,NA,2011,2,2,1,2,Media
Andrei Molchanov,Andrei Molchanov,,Russia,NA,X,NA,X,X,X,X,X,NA,NA,X,2008,7,2,2,2,Constrution
Andrei Rappoport,Andrei Rappoport,,Russia,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Diversified financial
Andrei Rogachev,Andrei Rogachev,,Russia,NA,X,NA,NA,X,NA,NA,NA,NA,NA,NA,2008,2,2,1,2,#N/A
Andrei Skoch,Andrei Skoch,407,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Non-consumer industrial
Andrej Babis,Andrej Babis,408,Czech Republic,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Consumer
Andres Santo Domingo,Andres Santo Domingo,129,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Andrew & Peggy Cherng,Andrew & Peggy Cherng,230,United States,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,#N/A
Andrew Beal,Andrew Beal,47,United States,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Money Management
Andrew Currie,Andrew Currie,409,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Andrew Forrest,Andrew Forrest,410,Australia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Mining and metals
Andrew Gotianun,Andrew Gotianun,,Philippines,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,2013,2,1,0,0,Real Estate
Andrew Tan,Andrew Tan,411,Philippines,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Diversified financial
Andrey Melnichenko,Andrey Melnichenko,412,Russia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Energy
Andrey Verevskiy,Andrey Verevskiy,,Ukraine,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,#N/A
Aneel Bhusri,Aneel Bhusri,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,NA,X,2014,3,1,1,1,Technology-Computer
Angela Bennett,Angela Bennett,,Australia,NA,NA,NA,NA,NA,X,NA,X,NA,NA,X,2012,3,2,2,2,Mining and metals
Angela Leong,Angela Leong,413,Hong Kong,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Real Estate
Anil Agarwal,Anil Agarwal,414,India,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Mining and metals
Anil Ambani,Anil Ambani,415,India,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Diversified financial
Anita Zucker,Anita Zucker,259,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Non-consumer industrial
Ann Walton Kroenke,Ann Walton Kroenke,85,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Anna Maria Braun,Anna Maria Braun,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Anne Beaufour,Anne Beaufour,,France,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Technology-Medical
Anne Cox Chambers,Anne Cox Chambers,,United States,X,X,X,X,X,X,X,X,X,NA,NA,2007,9,1,0,0,Media
Anne Gittinger,Anne Gittinger,,United States,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,"Retail, Restaurant"
Anne Windfohr Marion,Anne Windfohr Marion,,United States,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,#N/A
Anneliese Brost,Anneliese Brost,,Germany,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,Media
Anthony Bamford,Anthony Bamford,416,United Kingdom,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Constrution
Anthony Bamford,Anthony Bamford,416,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,Constrution
Anthony Langley,Anthony Langley,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Anthony O'Reilly,Anthony O'Reilly,,Ireland,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,Media
Anthony Pratt,Anthony Pratt,417,Australia,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Consumer
Anthony Pritzker,Anthony Pritzker,213,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
"Anton Kathrein, Jr.","Anton Kathrein, Jr.",,Germany,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,Consumer
Anton Schlecker,Anton Schlecker,,Germany,X,X,X,X,X,NA,NA,NA,NA,NA,NA,2007,5,1,0,0,#N/A
Antonia Johnson,Antonia Johnson,418,Sweden,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Antonio Del Valle Ruiz & family,Antonio Del Valle Ruiz,419,Mexico,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Non-consumer industrial
Antonio Ermirio de Moraes,Antonio Ermirio de Moraes,,Brazil,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,Non-consumer industrial
Antonio Jose Carneiro,Antonio Jose Carneiro,,Brazil,NA,NA,NA,NA,NA,X,X,NA,NA,NA,NA,2012,2,1,0,0,#N/A
Antonio Luiz Seabra,Antonio Luiz Seabra,,Brazil,X,X,X,X,X,X,X,X,X,NA,X,2007,10,1,1,1,Consumer
