Country_Name,no_of_holidays,avg_gdp,Average_PPP,Average_grads,Population,Average_Income,Compensation of employees (% of expense),Consumer price index (2010 = 100),Duration of compulsory education (years),Gross savings (% of GDP),"Health expenditure, private (% of GDP)","Labor force, total","Life expectancy at birth, total (years)",Unemployment_Rate,Population ages 0-14 (% of total),Population ages 15-64 (% of total),Population ages 65 and above (% of total),Average Democratic Index,Average GDP Growth,Household final expenditure (% of GDP)
Chile,11,2.26E+11,1379.657874,84557.11111,17203334.33,949.5,20.6447077,106.8434793,12.25,22.1003103,3.81002544,8032773.75,80.420875,7.442857197,21.56053769,68.50098517,9.938477142,7.75,3.625098601,61.29731292
China,17,7.32E+12,499.8853463,7460022.778,1344355556,731.14,0,108.7763889,9,50.32963043,2.325266357,787935234.5,75.0871128,3.974999964,17.55209821,73.92318464,8.52471715,3.063333333,9.253774153,36.5031779
Colombia,17,3.03E+11,768.6890506,190834.8889,46362289.78,474.66,18.1286621,103.0932173,10,18.79057241,1.746624108,22624338.5,73.3594939,10.72500014,26.01131494,67.86249006,6.126195001,6.571111111,4.338588918,62.4074956
"Congo, Dem. Rep.",8,24855912964,25.55062982,0,68278133.67,351.83,33.77009645,104.5809257,6,9.46404642,2.580087737,25866476.13,57.02568293,0,46.40762761,50.65809813,2.934274263,2.097777778,6.75899777,77.9074987
"Congo, Rep.",7,11863900112,184.4039838,0,4172061,0,25.55099643,101.8962021,10,15.15159464,0.935715472,1674683.5,59.37371951,0,42.3156506,54.06034927,3.624000125,2.933333333,4.477587391,43.10298422
Costa Rica,8,39808325715,1222.502507,34484.22222,4595447.667,779.04,46.40472969,103.5156411,11,0,2.618982037,2172241.375,78.83604268,7.275000095,24.16807803,68.05510376,7.776818213,8.024444444,3.852772343,
Cote d'Ivoire,12,27050158776,169.9678213,0,20680933.44,0,45.61934456,103.2419567,0,14.81754395,4.50657872,7775881.125,50.26239634,9.399999619,43.3543851,53.64722911,2.998385787,3.322222222,4.715040828,66.01321166
Croatia,9,59481369457,1608.815278,21529,4331558.778,869.71,25.4279427,102.0211962,8,21.08970511,1.287807801,1914007.75,76.55222561,12.92499971,15.31281351,66.77225823,17.91492827,6.898888889,-0.45889958,59.28759946
Cuba,8,51677276667,1953.879732,114299.7778,11330804,25.05,0,0,9,0,0.507233823,5245567,78.95933232,2.514285718,17.39345728,69.84411841,12.76242432,3.513333333,3.388543154,51.48359629
Curacao,9,0,0,22.33333333,150684.6667,1101.83,0,101.5843279,14,0,0,0,76.42536585,0,19.59054505,66.86648278,13.54297216,,,
Cyprus,10,24520261417,2165.1793,4941,1115642,1618.85,33.65401121,100.8857188,9,12.50608285,3.91863025,582739.125,79.48657622,8.875000089,17.64674166,70.51369231,11.83956603,7.448888889,-0.045722649,66.40035608
Czech Republic,10,2.07E+11,1965.585866,87239.33333,10466609.78,1020.48,7.73102915,101.857915,9,24.74978524,1.16879679,5258905,77.57530488,6.3125,14.52742749,69.43040634,16.04216617,8.076666667,1.518384424,48.31696593
Denmark,8,3.29E+11,4468.848881,51276.77778,5569154.444,3269.62,11.02298811,101.7055082,9.625,25.83949605,1.618132783,2930999.625,79.37987805,6.174999982,17.74368903,65.09413803,17.16217295,9.377777778,-0.030152163,47.98041446
Djibouti,3,1073551781,236.9116814,70.77777778,842589.6667,0,0,103.6866708,10,0,3.225904521,282269.125,60.52565244,0,34.10718697,62.06735361,3.825459418,2.671111111,5.136674727,57.45920514
Dominica,12,490923189.3,535.8399156,0,71550.11111,513.89,42.19037751,100.337138,11,-0.789934642,1.659158137,0,0,0,0,0,0,6.441111111,1.648798915,82.65316425
Dominica,9,56168039368,476.2899506,9182.333333,10022718.33,491.37,35.30668247,105.9181445,11.75,19.58357859,1.822588429,4446069.375,72.83403658,14.51249981,31.16235012,62.63817998,6.199469891,6.441111111,1.648798915,82.65316425
Ecuador,11,78758093667,642.5599067,33744.22222,15176049.44,359.29,0,104.279849,12.5,26.94793923,3.776635732,7141461.5,75.15221342,5.342857088,30.40994092,63.38369032,6.206368765,5.774444444,3.916227924,61.62201202
"Egypt, Arab Rep.",13,2.37E+11,503.1237894,174297.5556,84135009.44,264.33,24.47909594,110.4526796,9.375,16.36569277,3.111790936,27411454.25,70.44339329,10.55714267,32.37180576,62.60123364,5.0269606,3.587777778,4.067853211,77.4449148
El Salvador,8,22869233333,508.4889596,16934.88889,6055740.111,365,38.84974778,102.1408516,9.75,9.630834317,2.498534939,2607466.375,71.79384146,6.442857197,29.77987578,62.7306364,7.489487821,6.485555556,1.463459103,93.49730689
Equatorial Guinea,10,14114588469,1179.943888,0,752840,1087.5,20.58345437,100.8392475,6,0,0.722292485,385355.25,56.15322561,0,39.93636384,57.07593703,2.987699124,1.846666667,3.026861625,24.40568413
Estonia,6,22922860506,1422.086193,8926.666667,1326492.778,914.97,20.90656917,103.5633242,9,25.71361062,1.278377294,694879.375,75.47195122,9.825000166,15.35479296,66.77978595,17.86542109,7.707777778,0.827807919,51.91123022
Ethiopia,9,38800752869,60.39910214,43477.88889,89977028,249,17.11174858,134.3612723,0,32.10667743,2.354659776,41750443.5,61.49007622,15.87999992,43.75670007,52.9069913,3.336308632,3.934444444,10.43254035,71.56147611
Faroe Islands,9,1854272912,0,0,48445,2470.36,0,0,9,22.91801271,0,0,80.78292683,3.814285789,0,0,0,,,55.1607633
Fiji,8,3756189212,297.808019,0,865589.7778,710.22,34.9775877,104.4651345,0,11.88502344,1.261043303,335879.25,69.47099085,8.866666635,29.16332087,65.76495108,5.071728043,4.697777778,2.603313226,74.03774681
Finland,9,2.60E+11,3398.168549,38379.77778,5387675.778,2924.1,9.268743443,103.109789,10,22.98214712,2.252931138,2715538,80.20304878,7.787499905,16.53855618,65.46672586,17.99471795,9.103333333,0.057469143,53.0396176
France,11,2.72E+12,4089.825748,450841,65378307,2761.99,19.7031139,101.6658908,11,20.77766446,2.467949986,29766907.75,81.76006098,9.074999988,18.4729037,63.94153596,17.58556033,7.928888889,0.703341744,55.55146069
Gabon,10,15537704176,529.623164,0,1579790,1704.12,0,101.80077,10,0,1.242442264,584704.5,62.40088415,20.39999962,37.80903099,56.86792607,5.323042936,3.452222222,3.98663213,31.52838031
"Gambia, The",9,798801996.4,96.79930015,702.6666667,1755253.778,39.37,27.40766378,103.1607964,9,17.59452547,2.377917459,716848.375,59.42966768,29.79999924,46.37028799,51.18280237,2.446909639,3.432222222,3.80531167,83.25019855
Georgia,11,13585454825,576.0186477,25346.88889,3877555.556,299.37,16.91999025,101.8352033,9,13.14496496,7.061721259,2076977.125,74.07220122,15.01249993,17.17034011,68.51983735,14.30982255,5.328888889,4.610290016,74.28262011
Germany,14,3.59E+12,4469.340878,57982.72917,81645288.89,2851.85,5.865968412,102.1140651,12,26.39752631,2.594858056,42098054.63,80.30213415,6.549999952,13.38091815,65.9914171,20.62766476,8.546666667,1.195730293,55.42805124
Ghana,12,35247814084,156.2231601,25683.77778,24945427.67,351.22,37.24234005,113.6848902,11,15.54299084,1.486892428,10340226.38,60.60880488,4.699999809,39.15304042,57.36991948,3.477040095,6.114444444,7.199582384,73.20752026
Gibraltar,11,0,0,0,31044.55556,3990.69,0,0,10,0,0,0,0,0,0,0,0,,,
Greece,9,2.78E+11,2591.958493,36016.77778,11020659.78,953.44,21.3190223,99.54454171,9.625,8.494076303,3.229065788,5040330.625,80.48628049,16.78749985,14.62405682,65.6947789,19.68116428,7.695555556,-2.931323059,68.94270205
Greenland,8,2073746274,0,0,56522.55556,2744.84,0,0,10,0,0,0,70.64878049,9.549999714,0,0,0,,0.14899419,
Grenada,13,826421390.9,699.0549836,0,105124.2222,1250,48.5492496,100.6376166,12,-0.756156638,3.223426513,0,72.6481311,0,27.3759869,65.35596889,7.268044213,,1.724641177,83.74986066
Guatemala,9,47414691444,440.5215627,2989.333333,15057981.44,570.79,28.71336201,105.3236832,10.625,12.73842959,4.200594349,6145849,70.90381707,3.24000001,38.59689112,56.84841815,4.554690732,5.934444444,3.570345852,86.35054708
