Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Libya,LBY,71.78695122,71.7805122,71.73697561,71.68334146,71.65007317,71.65909756,71.71939024,71.83039024
Liechtenstein,LIE,82.68292683,81.5,81.84146341,81.79268293,82.38292683,82.26097561,82.07317073,82.07317073
Lithuania,LTU,71.81219512,72.91463415,73.26829268,73.56341463,73.86341463,73.91463415,74.51707317,75.1195122
Luxembourg,LUX,80.53902439,80.63658537,80.63170732,80.98780488,81.39268293,81.8,82.22926829,82.22926829
Macau,MAC,82.08246341,82.32846341,82.57356098,82.81126829,83.03458537,83.24046341,83.42692683,83.59490244
Macedonia,MKD,74.281,74.42982927,74.60409756,74.79587805,74.99085366,75.17970732,75.358,75.52431707
Madagascar,MDG,62.48031707,62.9152439,63.35780488,63.80546341,64.24912195,64.6817561,65.10131707,65.50782927
Malawi,MWI,54.08012195,55.64270732,57.1562439,58.55736585,59.81473171,60.90643902,61.81660976,62.54336585
Malaysia,MYS,73.92456098,74.09787805,74.28685366,74.48643902,74.68556098,74.87565854,75.05370732,75.22019512
Maldives,MDV,75.73070732,75.97653659,76.15690244,76.30631707,76.45743902,76.63595122,76.85587805,77.12026829
Mali,MLI,54.17431707,54.73629268,55.2297561,55.67463415,56.10243902,56.53612195,56.98670732,57.45770732
Malta,MLT,79.63658537,80.24146341,81.39756098,80.74634146,80.74634146,81.74634146,81.94634146,81.94634146
Marshall Islands,MHL,..,..,..,..,..,..,..,..
Mauritania,MRT,61.41021951,61.68182927,61.95136585,62.2097561,62.45095122,62.67195122,62.8702439,63.04636585
Mauritius,MUS,72.57073171,72.88243902,72.96731707,73.26682927,73.86341463,74.01707317,74.19439024,74.35317073
Mexico,MEX,75.7375122,75.88346341,76.03385366,76.19019512,76.35358537,76.52307317,76.69917073,76.88136585
Micronesia,FSM,68.34219512,68.45241463,68.55056098,68.64221951,68.73397561,68.83085366,68.93490244,69.04663415
Moldova,MDA,68.5585122,69.0102439,69.51065854,70.01592683,70.47831707,70.86456098,71.16168293,71.37121951
Monaco,MCO,..,..,..,..,..,..,..,..
Mongolia,MNG,66.52768293,66.99026829,67.44556098,67.87553659,68.26314634,68.59985366,68.88260976,69.11587805
Montenegro,MNE,74.38653659,74.78156098,75.20353659,75.62312195,76.01407317,76.35512195,76.63885366,76.86431707
Morocco,MAR,73.03812195,73.51346341,73.94107317,74.3202439,74.66065854,74.97014634,75.25514634,75.52014634
Mozambique,MOZ,53.36678049,54.0005122,54.6017561,55.18758537,55.77653659,56.37960976,56.99434146,57.60926829
Myanmar,MMR,64.4302439,64.76478049,65.10417073,65.4305122,65.72895122,65.9884878,66.20721951,66.38563415
Namibia,NAM,55.60134146,56.77773171,58.07460976,59.40392683,60.68470732,61.84543902,62.83892683,63.63643902
Nauru,NRU,..,..,..,..,..,..,..,..
Nepal,NPL,67.02497561,67.47807317,67.91017073,68.32578049,68.72795122,69.11817073,69.49897561,69.86985366
Netherlands,NLD,80.25121951,80.54878049,80.70243902,81.20487805,81.10487805,81.30487805,81.70731707,81.70731707
New Caledonia,NCL,76.45609756,76.96585366,77.47317073,76.72682927,77.12195122,77.32195122,77.57317073,77.77317073
New Zealand,NZL,80.35121951,80.70243902,80.70243902,80.90487805,81.15609756,81.40731707,81.40487805,81.45682927
Nicaragua,NIC,72.925,73.26387805,73.59234146,73.90736585,74.20946341,74.49809756,74.77278049,75.038
Niger,NER,55.35312195,56.11004878,56.84541463,57.53629268,58.1702439,58.73880488,59.2405122,59.68187805
Nigeria,NGA,49.87756098,50.37573171,50.83726829,51.26968293,51.6904878,52.11270732,52.54134146,52.97792683
Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..
Norway,NOR,80.59268293,80.79512195,80.99756098,81.29512195,81.45121951,81.75121951,82.1,82.1
Oman,OMN,75.42992683,75.71143902,75.97007317,76.21178049,76.44202439,76.66829268,76.89456098,77.12182927
Pakistan,PAK,64.58607317,64.86356098,65.15004878,65.432,65.69785366,65.93858537,66.14919512,66.33217073
Palau,PLW,..,..,..,..,..,..,..,..
Panama,PAN,76.48712195,76.6685122,76.85519512,77.04621951,77.23904878,77.43263415,77.62543902,77.81743902
Papua New Guinea,PNG,64.25534146,64.46278049,64.6402439,64.79568293,64.94156098,65.08585366,65.23407317,65.38770732
Paraguay,PRY,71.89678049,72.0997561,72.2982439,72.48517073,72.6545122,72.8037561,72.93241463,73.04297561
Peru,PER,73.23356098,73.44770732,73.65136585,73.85253659,74.05668293,74.26678049,74.48536585,74.71341463
Philippines,PHL,68.132,68.24309756,68.35826829,68.4784878,68.60421951,68.73495122,68.87017073,69.00985366
Poland,POL,75.54390244,75.69512195,76.24634146,76.69512195,76.74634146,77,77.60243902,78.20487805
Portugal,PRT,78.52439024,78.72682927,79.02682927,80.47073171,80.37317073,80.72195122,81.12195122,81.52195122
Puerto Rico,PRI,77.9034878,78.14980488,78.40817073,78.67119512,78.92641463,79.16739024,79.39012195,79.59612195
Qatar,QAT,77.34943902,77.48763415,77.6404878,77.80441463,77.97236585,78.13973171,78.3035122,78.46270732
Romania,ROU,72.56585366,73.3097561,73.45853659,74.4097561,74.41219512,75.06341463,74.96097561,74.96097561
Russia,RUS,67.94926829,68.68463415,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854,70.90853659
Rwanda,RWA,60.49380488,61.88834146,63.06556098,64.03158537,64.83546341,65.52270732,66.11334146,66.62087805
Samoa,WSM,72.41495122,72.82702439,73.23002439,73.6125122,73.9674878,74.2905122,74.58007317,74.83870732
San Marino,SMR,82.83170732,82.99554324,83.15937916,83.32321508,..,..,..,..
Sao Tome And Principe,STP,65.43570732,65.64292683,65.80860976,65.94080488,66.05653659,66.17134146,66.29070732,66.41665854
Saudi Arabia,SAU,73.44139024,73.55807317,73.70014634,73.86360976,74.03846341,74.21821951,74.39739024,74.5744878
Senegal,SEN,62.67502439,63.39863415,64.08363415,64.71331707,65.28558537,65.80073171,66.25782927,66.66143902
Serbia,SRB,73.88536585,73.98536585,74.33658537,74.53658537,74.83658537,75.18536585,75.33658537,75.48780488
Seychelles,SYC,73.16341463,73.03414634,73.19756098,72.72439024,74.22682927,73.1195122,73.22926829,73.22926829
Sierra Leone,SLE,46.41517073,47.33326829,48.212,49.02426829,49.75358537,50.39253659,50.94260976,51.41285366
Singapore,SGP,80.7902439,81.24146341,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195,82.59512195
Sint Maarten,SXM,74.53658537,75.58780488,..,..,73.05365854,..,..,..
Slovakia,SVK,74.70487805,74.9097561,75.11219512,75.95853659,76.1097561,76.41219512,76.81219512,77.21219512
Slovenia,SVN,78.76585366,78.97073171,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,81.07804878
Solomon Islands,SLB,67.68565854,68.16556098,68.62282927,69.05343902,69.45295122,69.82241463,70.16231707,70.47668293
Somalia,SOM,53.33153659,53.65839024,53.99119512,54.3354878,54.6957561,55.0724878,55.46568293,55.87285366
South Africa,ZAF,53.70407317,54.68346341,55.86960976,57.18107317,58.52041463,59.80007317,60.95478049,61.93409756
South Sudan,SSD,52.56987805,53.0912439,53.63197561,54.18307317,54.733,55.27231707,55.7964878,56.30258537
Spain,ESP,81.17560976,81.47560976,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,83.3804878
Sri Lanka,LKA,74.20117073,74.24765854,74.31302439,74.4072439,74.52431707,74.65929268,74.81465854,74.98895122
Saint Kitts And Nevis,KNA,..,..,..,..,..,..,..,..
Saint Lucia,LCA,73.99673171,74.24614634,74.45065854,74.6217561,74.77865854,74.93773171,75.10436585,75.2835122
