Country_Name,Country_Code,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
China,CHN,1.52E+11,2.09E+11,2.57E+11,2.95E+11,3.77E+11,4.45E+11,5.11E+11,5.75E+11,0
Colombia,COL,12970513738,16151481124,16396527843,19395324452,22257441829,25630245283,26008502723,27202157898,0
Comores,COM,22801060.86,26839864.99,20001551.14,30900199.95,35745895.23,40572789.49,40271264.86,43705841.25,0
Dr Congo,ZAR,590862170,856164475,1025123685,829752121.2,843029482.5,1034063292,1166608375,1426683732,0
Republic Of The Congo,COG,213032316.2,247277271,217349807,275322499.4,402496307.9,543881858.2,717623557,728175753.2,0
Costa Rica,CRI,2203114469,2686948264,2846180800,3505500776,4012141115,4330600927,4661005227,4614887487,0
Ivory Coast,CIV,1290983639,1503277032,1557043757,1573656418,1629633166,1661161995,1817954834,1958030140,0
Croatia,HRV,4480878742,5454028796,5142735652,4920848014,4853721560,4401202503,4521274006,4459719823,0
Cuba,CUB,6594988660,6563000000,7313900000,6557800000,7310825000,6292000000,7461788069,9292449872,0
Cyprus,CYP,1313002604,1739221944,1739930265,1669288082,1875726615,1693670821,1634735724,1560798951,0
Czech,CZE,11771408650,15371588548,15470112804,14751802798,16206896798,14827646433,14856927883,14491014881,0
Denmark,DNK,31102192438,35017544069,35626307722,34680515526,36263070169,34617059489,37184146288,36368669588,0
Djibouti,DJI,65466336.29,79089893.87,87833115.39,99785810.57,107944596.8,121111132.1,133107358.3,167139046.4,0
Dominica,DMA,20019724.87,21303832.3,26237948.13,28196340.59,28645450.18,27568884.4,28830201.91,29501587.94,0
Dominican Republic,DOM,1897507654,1994246018,2112316382,2154854683,2448083332,2577300377,2520773633,2799139533,0
Ecuador,ECU,3028300000,3495950000,3485474903,4105261191,4689347620,5677437000,6884120000,9210848793,0
Egypt,EGY,6542757814,7945255073,9415609200,10296341446,11646685572,13771254841,13940298836,15924431082,0
El Salvador,SLV,1269637029,1331564258,1411435048,1480535060,1575318508,1596571886,1684988708,1708000000,0
Equatorial Guinea,GNQ,229151130,356767402.3,496869936.5,443978751,517248487.9,659571310.5,581668903.5,544291271.1,0
Eritrea,ERI,43382113.82,50907806.14,61306961.33,68598832.61,79820047.62,92029714.28,103743778.4,128785380.1,0
Estonia,EST,1134616979,1438892076,1346377106,1203263485,1313183495,1427751926,1601894176,1641487716,0
Ethiopia,ETH,906623065.7,1115714724,1265273556,1837426870,1995701691,2435269736,2367911625,2583734585,0
Fiji,FJI,127355645.4,129605108.3,122229201,132776877.2,147889768.1,160298818.6,164334320.9,180845738.6,0
Finland,FIN,19919956534,22721192368,22031834665,21411093776,23644315027,22979951549,24519927326,25141595275,0
France,FRA,2.78E+11,3.09E+11,3.04E+11,2.96E+11,3.24E+11,3.07E+11,3.25E+11,3.26E+11,0
Gabon,GAB,355545151.6,393278575.9,416571431.1,493012352.7,556781731.6,553817152.5,685331949,592222849.9,0
Gambia,GMB,46026493.29,57421175.52,52685996.91,54735870.4,56437434.04,55871777.55,57851869.22,59241434.01,0
Georgia,GEO,833005653.6,1149920821,1097332150,1168198117,1357261707,1356274017,1167957260,1220925167,0
Germany,DEU,3.50E+11,3.90E+11,3.90E+11,3.84E+11,4.11E+11,3.89E+11,4.18E+11,4.37E+11,0
Ghana,GHA,1312234703,1383823425,1343860493,1716336321,1902044539,2008907747,2211617560,1550746673,0
Greece,GRC,29964221819,34592381001,32216883913,27495956532,28123300014,22706208090,22171295333,19044428088,0
Grenada,GRD,44570668.43,47600509.49,48153214.66,49402009.86,49431871.8,50852599.21,51406809.27,53794505.03,0
Guatemala,GTM,2338778063,2602109364,2561285631,2744196138,2994548560,3189254308,3390687957,3725607931,0
Guinea,GIN,127254912.5,144824580.9,177413562.9,215350528.2,239736670.6,305539786.4,342318677.3,373915262,0
Guinea-Bissau,GNB,42456397.2,52276425.88,56207486.63,56766406.06,60216944.77,63894276.42,71086663.98,67117881.75,0
Guyana,GUY,112311873.6,143507253,148275336.1,149179521.6,175133569.7,187180985.6,152375346.8,169418687.7,0
Haiti,HTI,331826066,379495677.8,434266699.9,542969929,778373113.2,772899952.5,679588425.9,649705328.6,0
Honduras,HND,975829689.2,1166256853,1289622947,1338586649,1517421161,1812064088,1681164378,1690385290,0
Hungary,HUN,10444231610,11509585103,9797061175,10212794807,10970633241,9844280819,10116792431,10238733852,0
Iceland,ISL,1863833098,1543288663,1172500232,1172189186,1269032046,1232547128,1346146228,1509256186,0
India,IND,50976631117,56157942520,58558240649,72854952077,81963552334,82040401483,87687687341,97139876764,0
Indonesia,IDN,13391985310,14316733938,15245616529,20694679199,24227718245,26598680686,26639853239,25295440858,0
